name_en	translation_sq	translation_bg
Adventure Vehicle Trail	Shteg për Automjete Aventurë	Офроуд маршрут
Aerospace Company	Kompani Ajrorumore	Авиокосмическа компания
Afghan Restaurant	Restorant Afghan	Афганистански ресторант
Airfield	Aeroport	Летище
Airline Company	Kompani Ajrore	Авиокомпания
Algerian Restaurant	Restorant Algerian	Алжирски ресторант
American Football Club	Klub Futbolli Amerikan	Клуб по американски футбол
American Football Stadium	Stadion Futbolli Amerikan	Стадион за американски футбол
Amphitheater	Amfiteatër	Амфитеатър
Arabian Restaurant	Restorant Arab	Арабски ресторант
Arboretum or Botanical Garden	Arboret ose Kopsht Botanik	Арборетум или ботаническа градина
Argentinian Restaurant	Restorant Argjentinase	Аржентински ресторант
Armenian Restaurant	Restorant Armen	Арменски ресторант
Art School	Shkollë Arti	Художествено училище
Asian Restaurant	Restorant Aziatik	Азиатски ресторант
Athletics Club	Klub Atletike	Клуб по лека атлетика
Athletics Track	Pistë Atletike	Лекоатлетическа писта
Australian Restaurant	Restorant Australian	Австралийски ресторант
Automotive Industry	Industri Automobilistike	Автомобилна индустрия
Baseball Club	Klub Bejsbolli	Клуб по бейзбол
Baseball Park	Park Bejsbolli	Бейзболен парк
Basketball Club	Klub Basketbolli	Баскетболен клуб
Basketball Stadium	Stadion Basketbolli	Баскетболна зала
Basque Restaurant	Restorant Bask	Баски ресторант
Beach Volleyball Club	Klub Volejbolli Plazhi	Клуб по плажен волейбол
Bolivian Restaurant	Restorant Bolivian	Боливийски ресторант
Bosnian Restaurant	Restorant Boshnjak	Босненски ресторант
Boules Club	Klub Petank	Клуб по петанк
Bowls Club	Klub Lojës me Topa	Клуб по боулинг
Brazilian Restaurant	Restorant Brazilian	Бразилски ресторант
Buffet Restaurant	Restorant Bufé	Ресторант тип бюфет
Bulgarian Restaurant	Restorant Bullgar	Български ресторант
Burmese Restaurant	Restorant Birman	Бирмански ресторант
Bus Stop	Stacion Autobusi	Автобусна спирка
Cabaret Theater	Teatër Kabaret	Кабаре театър
Cajun Restaurant	Restorant Kajun	Каджънски ресторант
Cambodian Restaurant	Restorant Kamboxhian	Камбоджански ресторант
Canoe Club	Klub Kanueje	Кану клуб
Car Bodyshop	Servis Karoserie	Автосервиз за каросерия
Car Glass Replacement Shop	Shërbim Zëvendësimi Xhamash	Сервиз за автостъкла
Car Parking Facility	Parking Automjetesh	Паркинг
Caribbean Restaurant	Restorant Karaibik	Карибски ресторант
Chicken Restaurant	Restorant Pule	Ресторант за пилешко
Chicken Wings Restaurant	Restorant Krahë Pule	Ресторант за пилешки крилца
Chilean Restaurant	Restorant Kilian	Чилийски ресторант
Chinese Restaurant	Restorant Kinez	Китайски ресторант
Church	Kishë	Църква
Climbing Club	Klub Alpinizmi	Клуб по алпинизъм
Clothing and Accessories Shop for Children	Dyqan Rrobash për Fëmijë	Магазин за детско облекло и аксесоари
Clothing and Accessories Shop for Men	Dyqan Rrobash për Meshkuj	Магазин за мъжко облекло и аксесоари
Clothing and Accessories Shop for Women	Dyqan Rrobash për Gra	Магазин за дамско облекло и аксесоари
Coach Parking Facility	Parking Autokarësh	Паркинг за автобуси
Coach Stop	Stacion Autokarësh	Спирка за автобуси
Cocktail Bar	Bar Koktejesh	Коктейл бар
Colombian Restaurant	Restorant Kolumbian	Колумбийски ресторант
Concert Hall	Sallë Koncertesh	Концертна зала
Corsican Restaurant	Restorant Korsikan	Корсикански ресторант
Creole Restaurant	Restorant Kreol	Креолски ресторант
Cricket Club	Klub Kriketi	Клуб по крикет
Cricket Ground	Fushë Kriketi	Игрище за крикет
Cuban Restaurant	Restorant Kuban	Кубински ресторант
Culinary School	Shkollë Kulinarie	Кулинарно училище
Cycling Club	Klub Çiklizmi	Колоездачен клуб
Cypriot Restaurant	Restorant Qipriot	Кипърски ресторант
Czech Restaurant	Restorant Çek	Чешки ресторант
Danish Restaurant	Restorant Danez	Датски ресторант
Dinner Theater	Teatër me Darkë	Театър с вечеря
Discotheque	Diskotekë	Дискотека
Dominican Restaurant	Restorant Dominikan	Доминикански ресторант
Dongbei Restaurant	Restorant Dongbei	Ресторант Дунбей
Doughnut Restaurant	Restorant Donats	Ресторант за понички
Drive Through Bottle Shop	Shitore Pijesh me Shërbim në Makinë	Магазин за напитки с обслужване от кола
Drive-In Cinema	Kinema në Makinë	Кино на открито за автомобили
Dutch Restaurant	Restorant Holandez	Холандски ресторант
Egyptian Restaurant	Restorant Egjiptian	Египетски ресторант
English Restaurant	Restorant Anglez	Английски ресторант
Erotic Restaurant	Restorant Erotik	Еротичен ресторант
Ethiopian Restaurant	Restorant Etiopian	Етиопски ресторант
Exotic Restaurant	Restorant Ekzotik	Екзотичен ресторант
Fairground	Panairi	Панаир
Fast Food Restaurant	Restorant Ushqimi të Shpejta	Заведение за бързо хранене
Field Hockey Club	Klub Hokej në Fushë	Клуб по хокей на трева
Field Hockey Ground	Fushë Hokej në Fushë	Игрище за хокей на трева
Finnish Restaurant	Restorant Finlandez	Фински ресторант
Fondue Restaurant	Restorant Fondiu	Ресторант за фондю
French Restaurant	Restorant Francez	Френски ресторант
Fusion Restaurant	Restorant Fuzion	Фюжън ресторант
Gas Industry	Industri Gazi	Газова индустрия
General Practitioner	Mjek i Përgjithshëm	Общопрактикуващ лекар
German Restaurant	Restorant Gjerman	Немски ресторант
Golf Club	Klub Golfi	Голф клуб
Greek Restaurant	Restorant Grek	Гръцки ресторант
Grill Restaurant	Restorant Skara	Ресторант скара
Guangdong Restaurant	Restorant Guangdong	Ресторант Гуандун
Gurudwara	Gurudvara	Гурудвара
Gymnastics Club	Klub Gjimnastike	Клуб по гимнастика
Hamburger Restaurant	Restorant Hamburgerësh	Ресторант за хамбургери
Hawaiian Restaurant	Restorant Havajan	Хавайски ресторант
High School	Shkollë e Mesme	Гимназия
Hiking Trail	Shtegtim Këmbësor	Туристическа пътека
Historic Site	Vend Historik	Исторически обект
Historical Park	Park Historik	Исторически парк
Hockey Club	Klub Hokej	Хокеен клуб
Horse Race Track	Pistë Garash Kuajsh	Конна писта
Horse Riding Club	Klub Kalërimi	Конноспортен клуб
Horse Riding Trail	Shtegtim Kalërimi	Конна пътека
Hospital for Women and Children	Spital për Gra dhe Fëmijë	Болница за жени и деца
Hospital of Chinese Medicine	Spital Mjekësie Kineze	Болница за китайска медицина
Hot Pot Restaurant	Restorant Hot Pot	Ресторант за хот пот
Hunan Restaurant	Restorant Hunan	Ресторант Хунан
Hungarian Restaurant	Restorant Hungarez	Унгарски ресторант
Ice Cream Parlor	Ëmbëltore Akullore	Сладкарница за сладолед
Ice Hockey Arena	Arenë Hokej në Akull	Ледена арена за хокей
Ice Hockey Club	Klub Hokej në Akull	Клуб по хокей на лед
Indian Restaurant	Restorant Indian	Индийски ресторант
Indonesian Restaurant	Restorant Indonezian	Индонезийски ресторант
International Railway Station	Stacion Ndërkombëtar Hekurudhor	Международна жп гара
International Restaurant	Restorant Ndërkombëtar	Международен ресторант
Iranian Restaurant	Restorant Iranian	Ирански ресторант
Irish Restaurant	Restorant Irlandez	Ирландски ресторант
Israeli Restaurant	Restorant Izraelit	Израелски ресторант
Italian Restaurant	Restorant Italian	Италиански ресторант
Japanese Restaurant	Restorant Japonez	Японски ресторант
Jazz Club	Klub Xhazi	Джаз клуб
Jewish Restaurant	Restorant Hebre	Еврейски ресторант
Karaoke Bar	Bar Karaoke	Караоке бар
Korean Restaurant	Restorant Korean	Корейски ресторант
Kosher Restaurant	Restorant Kosher	Кошер ресторант
Lakeshore	Breg Liqeni	Брег на езеро
Latin American Restaurant	Restorant Latinoamerikan	Латиноамерикански ресторант
Lebanese Restaurant	Restorant Libanez	Ливански ресторант
Local Post Office	Postë Lokale	Местна поща
Luxembourgian Restaurant	Restorant Luksemburgaz	Люксембургски ресторант
Macrobiotic Restaurant	Restorant Makrobiotik	Макробиотичен ресторант
Maghrib Restaurant	Restorant Maghrebi	Магребски ресторант
Maltese Restaurant	Restorant Malti	Малтийски ресторант
Mauritian Restaurant	Restorant Maurician	Маврицийски ресторант
Medicinal Marijuana Dispensary	Shpërndarje Marihuane Mjekësore	Аптека за медицинска марихуана
Mediterranean Restaurant	Restorant Mesdhetar	Средиземноморски ресторант
Mexican Restaurant	Restorant Meksikan	Мексикански ресторант
Middle Eastern Restaurant	Restorant Lindjes së Mesme	Ресторант с ближноизточна кухня
Middle School	Shkollë e Mesme e Ulët	Основно училище
Military Airport	Aeroport Ushtarak	Военно летище
Mining Company	Kompani Minieare	Минна компания
Mongolian Restaurant	Restorant Mongol	Монголски ресторант
Moroccan Restaurant	Restorant Marokan	Марокански ресторант
Mosque	Xhami	Джамия
Motor Racing Stadium	Stadion Gara Makinash	Автомобилна писта
Motor Sport Club	Klub Sportesh Motorike	Клуб по автомобилен спорт
Motorcycle Racing Club	Klub Gara Motorësh	Клуб по мотоциклетизъм
Mountain Bike Trail	Shtegtim Biçiklete Mali	Планинска велосипедна пътека
Multi-Purpose Sport Stadium	Stadion Sportiv Shumë-Përdorimësh	Многофункционален спортен стадион
Music and Video Rental Shop	Dyqan Marje me Qira Muzike dhe Video	Магазин за музика и видеопрокат
Music Center	Qendër Muzikore	Музикален център
Mussels Restaurant	Restorant Midhjesh	Ресторант за миди
Nail Salon	Salon Thonjsh	Салон за маникюр
National Railway Station	Stacion Kombëtar Hekurudhor	Национална жп гара
Natural Recreation Attraction	Zonë Natyrale Rekreative	Природна забележителност
Nepalese Restaurant	Restorant Nepalez	Непалски ресторант
Netball Club	Klub Netboll	Клуб по нетбол
Netball Stadium	Stadion Netbolli	Стадион за нетбол
Norwegian Restaurant	Restorant Norvegjez	Норвежки ресторант
Oil Industry	Industri Nafte	Нефтена индустрия
Opera House	Teatër Opere	Оперен театър
Organic Food Restaurant	Restorant Ushqimi Organik	Ресторант за биохрана
Oriental Restaurant	Restorant Oriental	Ориенталски ресторант
Pagoda	Pagodë	Пагода
Pakistani Restaurant	Restorant Pakistani	Пакистански ресторант
Pancake House	Restorant Pankejkësh	Палачинкарница
Parkway	Rrugë Parku	Алея в парк
Peruvian Restaurant	Restorant Peruan	Перуански ресторант
Pharmaceutical Industry	Industri Farmaceutike	Фармацевтична индустрия
Philippine Restaurant	Restorant Filipinas	Филипински ресторант
Pizzeria	Piceri	Пицария
Polish Restaurant	Restorant Polak	Полски ресторант
Polynesian Restaurant	Restorant Polinezian	Полинезийски ресторант
Portuguese Restaurant	Restorant Portugez	Португалски ресторант
Pre School	Kopësht Fëmijësh	Предучилищно заведение
Preserve	Rezervé	Резерват
Primary School	Shkollë Fillore	Начално училище
Private Airport	Aeroport Privat	Частно летище
Private Club	Klub Privat	Частен клуб
Provençal Restaurant	Restorant Provansalas	Провансалски ресторант
Pub Food Restaurant	Pub	Пъб
Public Airport	Aeroport Publik	Обществено летище
Public Transport Ticket Office	Zyrë Biletash Transporti Publik	Каса за билети за обществен транспорт
Race Track	Pistë Garash	Писта за състезания
Recreational Marijuana Dispensary	Shpërndarje Marihuane Rekriative	Диспансер за рекреационна марихуана
Retirement Community	Komunitet për të Moshuarit	Дом за възрастни
River Scenic Area	Zonë Piktoreske Lumit	Живописна речна област
Rock Climbing Trail	Shtegtim Ngjitje në Shkëmbinj	Трасе за катерене
Romanian Restaurant	Restorant Rumun	Румънски ресторант
Rowing Club	Klub Varke	Гребен клуб
Rugby Club	Klub Ragbi	Клуб по ръгби
Rugby Ground	Fushë Ragbi	Игрище за ръгби
Running Club	Klub Vrapimi	Клуб по бягане
Russian Restaurant	Restorant Rus	Руски ресторант
Sailing Club	Klub Lundrimtari	Ветроходен клуб
Salad Bar	Bar Sallatash	Салатен бар
Sandwich Restaurant	Restorant Sandviç	Ресторант за сандвичи
Savoy Restaurant	Restorant Savoa	Савойски ресторант
Scandinavian Restaurant	Restorant Skandinav	Скандинавски ресторант
Scottish Restaurant	Restorant Skocez	Шотландски ресторант
Scuba Diving Club	Klub Zhytjeje	Клуб по водолазно гмуркане
Seafood Restaurant	Restorant Deti	Ресторант за морски дарове
Seashore	Breg Deti	Морски бряг
Senior High School	Shkollë e Mesme e Lartë	Средно училище
Shandong Restaurant	Restorant Shandong	Ресторант Шандун
Shanghainese Restaurant	Restorant Shanghajez	Шанхайски ресторант
Shooting Club	Klub Shtënie	Стрелкови клуб
Sichuan Restaurant	Restorant Sichuan	Ресторант Съчуан
Sicilian Restaurant	Restorant Siçilian	Сицилиански ресторант
Skateboard Club	Klub Skeitbord	Клуб по скейтбординг
Ski Resort	Resort Skijimi	Ски курорт
Skiing Club	Klub Skijimi	Клуб по ски
Slavic Restaurant	Restorant Sllav	Славянски ресторант
Slovak Restaurant	Restorant Sllovak	Словашки ресторант
Snacks Restaurant	Bar Ushqimesh të Lehta	Ресторант за закуски
Snooker, Pool or Billiard Centre	Qendër Snuker dhe Bilardoi	Център за снукър и билярд
Soccer Club	Klub Futbolli	Футболен клуб
Soccer Stadium	Stadion Futbolli	Футболен стадион
Soul Food	Restorant Ushqimesh Tradicionale	Ресторант соул фуд
Soup Restaurant	Restorant Supash	Ресторант за супи
Spanish Restaurant	Restorant Spanjoll	Испански ресторант
Special Clothing and Accessories Shop	Dyqan Rrobash dhe Aksesorësh Special	Специализиран магазин за облекло и аксесоари
Special School	Shkollë Speciale	Специално училище
Specialist	Specialist	Специалист
Specialized Hospital	Spital i Specializuar	Специализирана болница
Sport School	Shkollë Sportive	Спортно училище
Sports Clothing and Accessories Shop	Dyqan Rrobash dhe Aksesorësh Sportive	Магазин за спортно облекло и аксесоари
Squash Club	Klub Skuosh	Клуб по скуош
Squash Court	Fushë Skuoshi	Корт за скуош
Steak House	Restorant Biftek	Ресторант за бифтеци
Subway Station	Stacion Metroje	Метростанция
Sudanese Restaurant	Restorant Sudanez	Судански ресторант
Surinamese Restaurant	Restorant Surinamez	Суринамски ресторант
Sushi Restaurant	Restorant Sushi	Суши ресторант
Swedish Restaurant	Restorant Suedez	Шведски ресторант
Swimming Club	Klub Notimi	Клуб по плуване
Swimming Pool	Pishinë	Басейн
Swiss Restaurant	Restorant Zviceran	Швейцарски ресторант
Synagogue	Sinagogë	Синагога
Syrian Restaurant	Restorant Sirian	Сирийски ресторант
Table Tennis Club	Klub Pingpongu	Клуб по тенис на маса
Taiwanese Restaurant	Restorant Tajvanez	Тайвански ресторант
Takeaway Food	Ushqim për Ta Marrë	Храна за вкъщи
Tapas Restaurant	Restorant Tapas	Ресторант за тапас
Taxi Limousine And Shuttle Service Company	Kompani Taksi Limuzinash dhe Shërbim Transferi	Такси и лимузинска компания
Technical School	Shkollë Teknike	Техническо училище
Temple	Tempull	Храм
Tennis Club	Klub Tenisi	Тенис клуб
Tennis Court	Fushë Tenisi	Тенис корт
Teppanyaki Restaurant	Restorant Teppanjaki	Ресторант тепаняки
Thai Restaurant	Restorant Tajlandez	Тайландски ресторант
Tibetan Restaurant	Restorant Tibetan	Тибетски ресторант
Tourist Information Office	Zyrë Informacioni Turistik	Туристически информационен офис
Tram Stop	Stacion Tramvaji	Трамвайна спирка
Transport Company	Kompani Transporti	Транспортна компания
Truck Parking Facility	Parking Kamionësh	Паркинг за камиони
Truck Stop	Stacion Kamionësh	Спирка за камиони
Truck Wash	Larje Kamionësh	Автомивка за камиони
Tunisian Restaurant	Restorant Tunizian	Тунизийски ресторант
Turkish Restaurant	Restorant Turk	Турски ресторант
Tyres Service	Shërbim Gomash	Сервиз за гуми
Urban Railway Station	Stacion Hekurudhor Urban	Градска жп гара
Uruguayan Restaurant	Restorant Uruguaian	Уругвайски ресторант
Vegan Restaurant	Restorant Vegan	Веган ресторант
Vegetarian Restaurant	Restorant Vegjetarian	Вегетариански ресторант
Venezuelan Restaurant	Restorant Venezuelan	Венецуелски ресторант
Vietnamese Restaurant	Restorant Vietnamez	Виетнамски ресторант
Vocational School	Shkollë Profesionale	Професионално училище
Volleyball Club	Klub Volejbolli	Волейболен клуб
Welsh Restaurant	Restorant Uellsian	Уелски ресторант
Western Restaurant	Restorant Perëndimor	Западен ресторант
Wilderness Area	Zonë e Egër	Дива природа
Wine Bar	Bar Verësh	Винен бар
