name_en	translation_bg	translation_bs	translation_cs
Adventure Vehicle Trail	Път за офроуд превозни средства	Staza za terenska vozila	Terénní trasa pro vozidla
Aerospace Company	Аерокосмическа компания	Aerospace kompanija	Letecká společnost
Afghan Restaurant	Афганистански ресторант	Afganistanski restoran	Afghánská restaurace
Airfield	Летище	Aerodrom	Letiště
Airline Company	Авиокомпания	Avio-kompanija	Letecká společnost
Algerian Restaurant	Алжирски ресторант	Alžirski restoran	Alžírská restaurace
American Football Club	Клуб по американски футбол	Klub američkog fudbala	Klub amerického fotbalu
American Football Stadium	Стадион за американски футбол	Stadion za američki fudbal	Stadion amerického fotbalu
Amphitheater	Амфитеатър	Amfiteatar	Amfiteátr
Arabian Restaurant	Арабски ресторант	Arapski restoran	Arabská restaurace
Arboretum or Botanical Garden	Дендрариум или ботаническа градина	Arboretum ili botanički vrt	Arboretum nebo botanická zahrada
Argentinian Restaurant	Аржентински ресторант	Argentinski restoran	Argentinská restaurace
Armenian Restaurant	Арменски ресторант	Jermenski restoran	Arménská restaurace
Art School	Художествено училище	Umjetnička škola	Umělecká škola
Asian Restaurant	Азиатски ресторант	Azijski restoran	Asijská restaurace
Athletics Club	Атлетически клуб	Atletski klub	Atletický klub
Athletics Track	Лекоатлетическа писта	Atletska staza	Atletická dráha
Australian Restaurant	Австралийски ресторант	Australijski restoran	Australská restaurace
Automotive Industry	Автомобилна индустрия	Automobilska industrija	Automobilový průmysl
Baseball Club	Бейзбол клуб	Bejzbol klub	Baseballový klub
Baseball Park	Бейзболна площадка	Bejzbol park	Baseballové hřiště
Basketball Club	Баскетболен клуб	Košarkaški klub	Basketbalový klub
Basketball Stadium	Баскетболна зала	Košarkaški stadion	Basketbalový stadion
Basque Restaurant	Баски ресторант	Baskijski restoran	Baskická restaurace
Beach Volleyball Club	Клуб по плажен волейбол	Klub odbojke na pijesku	Klub plážového volejbalu
Bolivian Restaurant	Боливийски ресторант	Bolivijski restoran	Bolivijská restaurace
Bosnian Restaurant	Босненски ресторант	Bosanski restoran	Bosenská restaurace
Boules Club	Клуб по петанк	Klub kuglanja	Klub pétanque
Bowls Club	Клуб по боулинг	Klub kuglanja	Klub bowlingu
Brazilian Restaurant	Бразилски ресторант	Brazilski restoran	Brazilská restaurace
Buffet Restaurant	Ресторант тип бюфе	Buffet restoran	Bufetová restaurace
Bulgarian Restaurant	Български ресторант	Bugarski restoran	Bulharská restaurace
Burmese Restaurant	Бирмански ресторант	Burmanski restoran	Barmská restaurace
Bus Stop	Автобусна спирка	Autobuska stanica	Autobusová zastávka
Cabaret Theater	Кабаре театър	Kabaret teatar	Kabaretní divadlo
Cajun Restaurant	Кейджънски ресторант	Cajun restoran	Cajunská restaurace
Cambodian Restaurant	Камбоджански ресторант	Kambodžanski restoran	Kambodžská restaurace
Canoe Club	Клуб по кану	Kanu klub	Kanoe klub
Car Bodyshop	Автомобилна боядисница	Autolimarski servis	Autolakovna
Car Glass Replacement Shop	Сервиз за автомобилни стъкла	Servis za auto-stakla	Servis autoskel
Car Parking Facility	Автомобилен паркинг	Parking za automobile	Parkoviště pro automobily
Caribbean Restaurant	Карибски ресторант	Karipski restoran	Karibská restaurace
Chicken Restaurant	Ресторант за пилешко месо	Restoran sa piletinom	Restaurace s kuřecím masem
Chicken Wings Restaurant	Ресторант за пилешки крилца	Restoran sa pilećim krilima	Restaurace s kuřecími křídly
Chilean Restaurant	Чилийски ресторант	Čileanski restoran	Chilská restaurace
Chinese Restaurant	Китайски ресторант	Kineski restoran	Čínská restaurace
Church	Църква	Crkva	Kostel
Climbing Club	Клуб по катерене	Penjački klub	Horolezecký klub
Clothing and Accessories Shop for Children	Магазин за детско облекло и аксесоари	Prodavnica dječije odjeće i dodataka	Obchod s dětským oblečením a doplňky
Clothing and Accessories Shop for Men	Магазин за мъжко облекло и аксесоари	Prodavnica muške odjeće i dodataka	Obchod s pánským oblečením a doplňky
Clothing and Accessories Shop for Women	Магазин за дамско облекло и аксесоари	Prodavnica ženske odjeće i dodataka	Obchod s dámským oblečením a doplňky
Coach Parking Facility	Паркинг за автобуси	Parking za autobuse	Parkoviště pro autobusy
Coach Stop	Автобусна спирка	Autobuska stanica	Autobusová zastávka
Cocktail Bar	Коктейл бар	Cocktail bar	Koktejlový bar
Colombian Restaurant	Колумбийски ресторант	Kolumbijski restoran	Kolumbijská restaurace
Concert Hall	Концертна зала	Koncertna dvorana	Koncertní síň
Corsican Restaurant	Корсикански ресторант	Korzikanski restoran	Korsická restaurace
Creole Restaurant	Креолски ресторант	Kreolski restoran	Kreolská restaurace
Cricket Club	Клуб по крикет	Kriket klub	Kriketový klub
Cricket Ground	Крикет игрище	Kriket teren	Kriketové hřiště
Cuban Restaurant	Кубински ресторант	Kubanski restoran	Kubánská restaurace
Culinary School	Кулинарно училище	Kulinarska škola	Kulinářská škola
Cycling Club	Велосипеден клуб	Biciklistički klub	Cyklistický klub
Cypriot Restaurant	Кипърски ресторант	Kiparski restoran	Kyperská restaurace
Czech Restaurant	Чешки ресторант	Češki restoran	Česká restaurace
Danish Restaurant	Датски ресторант	Danski restoran	Dánská restaurace
Dinner Theater	Театър с вечеря	Teatar sa večerom	Divadlo s večeří
Discotheque	Дискотека	Diskoteka	Diskotéka
Dominican Restaurant	Доминикански ресторант	Dominikanski restoran	Dominikánská restaurace
Dongbei Restaurant	Ресторант Дунбей	Dongbei restoran	Restaurace Dongbei
Doughnut Restaurant	Поничкарница	Restoran sa krofnama	Restaurace s koblihami
Drive Through Bottle Shop	Магазин за напитки с обслужване в автомобила	Prodavnica pića sa uslugom iz auta	Prodej nápojů s obsluhou z auta
Drive-In Cinema	Автокино	Auto-kino	Autokino
Dutch Restaurant	Холандски ресторант	Holandski restoran	Holandská restaurace
Egyptian Restaurant	Египетски ресторант	Egipatski restoran	Egyptská restaurace
English Restaurant	Английски ресторант	Engleski restoran	Anglická restaurace
Erotic Restaurant	Еротичен ресторант	Erotski restoran	Erotická restaurace
Ethiopian Restaurant	Етиопски ресторант	Etiopski restoran	Etiopská restaurace
Exotic Restaurant	Екзотичен ресторант	Egzotični restoran	Exotická restaurace
Fairground	Панаирна площ	Vašarište	Lunapark
Fast Food Restaurant	Ресторант за бързо хранене	Restoran brze hrane	Restaurace rychlého občerstvení
Field Hockey Club	Клуб по хокей на трева	Klub hokeja na travi	Klub pozemního hokeje
Field Hockey Ground	Игрище за хокей на трева	Teren za hokej na travi	Hřiště pro pozemní hokej
Finnish Restaurant	Фински ресторант	Finski restoran	Finská restaurace
Fondue Restaurant	Ресторант за фондю	Restoran sa fondue	Restaurace s fondue
French Restaurant	Френски ресторант	Francuski restoran	Francouzská restaurace
Fusion Restaurant	Ресторант фюжън кухня	Fusion restoran	Fusion restaurace
Gas Industry	Газова индустрия	Gasna industrija	Plynárenský průmysl
General Practitioner	Общопрактикуващ лекар	Opšti ljekar	Praktický lékař
German Restaurant	Немски ресторант	Njemački restoran	Německá restaurace
Golf Club	Голф клуб	Golf klub	Golfový klub
Greek Restaurant	Гръцки ресторант	Grčki restoran	Řecká restaurace
Grill Restaurant	Ресторант скара	Roštilj restoran	Grilová restaurace
Guangdong Restaurant	Ресторант Гуандун	Guangdong restoran	Restaurace Guangdong
Gurudwara	Гурудвара	Gurudwara	Gurudwara
Gymnastics Club	Гимнастически клуб	Gimnastički klub	Gymnastický klub
Hamburger Restaurant	Ресторант за хамбургери	Restoran sa hamburgerima	Restaurace s hamburgery
Hawaiian Restaurant	Хавайски ресторант	Havajski restoran	Havajská restaurace
High School	Средно училище	Srednja škola	Střední škola
Hiking Trail	Туристическа пътека	Planinska staza	Turistická stezka
Historic Site	Историческо място	Istorijsko mjesto	Historické místo
Historical Park	Исторически парк	Istorijsko park	Historický park
Hockey Club	Хокеен клуб	Hokej klub	Hokejový klub
Horse Race Track	Конна писта	Hipodrom	Dostihová dráha
Horse Riding Club	Клуб по конна езда	Klub jahanja	Jezdecký klub
Horse Riding Trail	Пътека за конна езда	Staza za jahanje	Stezka pro jízdu na koni
Hospital for Women and Children	Болница за жени и деца	Bolnica za žene i djecu	Nemocnice pro ženy a děti
Hospital of Chinese Medicine	Болница за китайска медицина	Bolnica kineske medicine	Nemocnice tradiční čínské medicíny
Hot Pot Restaurant	Хот-пот ресторант	Restoran sa hot pot	Restaurace s hot potem
Hunan Restaurant	Ресторант Хунан	Hunan restoran	Restaurace Hunan
Hungarian Restaurant	Унгарски ресторант	Mađarski restoran	Maďarská restaurace
Ice Cream Parlor	Сладкарница за сладолед	Slaščičarnica	Zmrzlinárna
Ice Hockey Arena	Зала за хокей на лед	Ledomat	Hokejová hala
Ice Hockey Club	Клуб по хокей на лед	Klub hokeja na ledu	Klub ledního hokeje
Indian Restaurant	Индийски ресторант	Indijski restoran	Indická restaurace
Indonesian Restaurant	Индонезийски ресторант	Indonežanski restoran	Indonéská restaurace
International Railway Station	Международна жп гара	Međunarodna željeznička stanica	Mezinárodní železniční stanice
International Restaurant	Международен ресторант	Međunarodni restoran	Mezinárodní restaurace
Iranian Restaurant	Ирански ресторант	Iranski restoran	Íránská restaurace
Irish Restaurant	Ирландски ресторант	Irski restoran	Irská restaurace
Israeli Restaurant	Израелски ресторант	Izraelski restoran	Izraelská restaurace
Italian Restaurant	Италиански ресторант	Talijanski restoran	Italská restaurace
Japanese Restaurant	Японски ресторант	Japanski restoran	Japonská restaurace
Jazz Club	Джаз клуб	Jazz klub	Jazzový klub
Jewish Restaurant	Еврейски ресторант	Jevrејski restoran	Židovská restaurace
Karaoke Bar	Караоке бар	Karaoke bar	Karaoke bar
Korean Restaurant	Корейски ресторант	Korejski restoran	Korejská restaurace
Kosher Restaurant	Кошерен ресторант	Košer restoran	Košer restaurace
Lakeshore	Езерен бряг	Obala jezera	Břeh jezera
Latin American Restaurant	Латиноамерикански ресторант	Latino-američki restoran	Latinskoamerická restaurace
Lebanese Restaurant	Ливански ресторант	Libanski restoran	Libanonská restaurace
Local Post Office	Местна поща	Lokalna pošta	Místní pošta
Luxembourgian Restaurant	Люксембургски ресторант	Luksemburški restoran	Lucemburská restaurace
Macrobiotic Restaurant	Макробиотичен ресторант	Makrobiotski restoran	Makrobiotická restaurace
Maghrib Restaurant	Магрибски ресторант	Magripski restoran	Maghrebská restaurace
Maltese Restaurant	Малтийски ресторант	Malteski restoran	Maltézská restaurace
Mauritian Restaurant	Мавритански ресторант	Mauricijski restoran	Mauritijská restaurace
Medicinal Marijuana Dispensary	Аптека за медицинска марихуана	Dispanzer medicinske marihuane	Lékárna s medicinální marihuanou
Mediterranean Restaurant	Средиземноморски ресторант	Mediteranski restoran	Sredomořská restaurace
Mexican Restaurant	Мексикански ресторант	Meksički restoran	Mexická restaurace
Middle Eastern Restaurant	Близкоизточен ресторант	Restoran bliskoistočne kuhinje	Restaurace blízkovýchodní kuchyně
Middle School	Основно училище	Osnovna škola	Základní škola
Military Airport	Военно летище	Vojni aerodrom	Vojenské letiště
Mining Company	Минна компания	Rudarska kompanija	Těžební společnost
Mongolian Restaurant	Монголски ресторант	Mongolski restoran	Mongolská restaurace
Moroccan Restaurant	Мароkански ресторант	Marokanski restoran	Marocká restaurace
Mosque	Джамия	Džamija	Mešita
Motor Racing Stadium	Автодром	Avtodrom	Motokárový stadion
Motor Sport Club	Мотоспортен клуб	Klub motosporta	Motokárový klub
Motorcycle Racing Club	Клуб по мотоциклетни състезания	Klub moto-trka	Motocyklový závodní klub
Mountain Bike Trail	Планинска велосипедна пътека	Staza za brdski bicikl	Stezka pro horská kola
Multi-Purpose Sport Stadium	Многофункционален спортен стадион	Više-namjenski sportski stadion	Víceúčelový sportovní stadion
Music and Video Rental Shop	Магазин за наем на музика и видео	Iznajmljivanje muzike i videa	Půjčovna hudby a videa
Music Center	Музикален център	Muzički centar	Hudební centrum
Mussels Restaurant	Ресторант за миди	Restoran sa školjkama	Restaurace se slávkami
Nail Salon	Салон за маникюр	Salon za nokte	Nehtové studio
National Railway Station	Национална жп гара	Nacionalna željeznička stanica	Národní železniční stanice
Natural Recreation Attraction	Природна рекреационна атракция	Prirodna rekreaciona atrakcija	Přírodní rekreační atrakce
Nepalese Restaurant	Непалски ресторант	Nepalski restoran	Nepálská restaurace
Netball Club	Клуб по нетбол	Netball klub	Netballový klub
Netball Stadium	Стадион за нетбол	Netball stadion	Netballový stadion
Norwegian Restaurant	Норвежки ресторант	Norveški restoran	Norská restaurace
Oil Industry	Нефтена индустрия	Naftna industrija	Ropný průmysl
Opera House	Опера	Operska kuća	Operní dům
Organic Food Restaurant	Ресторант с биологична храна	Restoran organske hrane	Restaurace s biopotravinami
Oriental Restaurant	Ориенталски ресторант	Orijentalni restoran	Orientální restaurace
Pagoda	Пагода	Pagoda	Pagoda
Pakistani Restaurant	Пакистански ресторант	Pakistanski restoran	Pákistánská restaurace
Pancake House	Палачинкарница	Palacinkarnica	Palačinkárna
Parkway	Алея	Aleja	Alejová cesta
Peruvian Restaurant	Перуански ресторант	Peruanski restoran	Peruánská restaurace
Pharmaceutical Industry	Фармацевтична индустрия	Farmaceutska industrija	Farmaceutický průmysl
Philippine Restaurant	Филипински ресторант	Filipinski restoran	Filipínská restaurace
Pizzeria	Пицария	Pizerija	Pizerie
Polish Restaurant	Полски ресторант	Poljski restoran	Polská restaurace
Polynesian Restaurant	Полинезийски ресторант	Polinežanski restoran	Polyneská restaurace
Portuguese Restaurant	Португалски ресторант	Portugalski restoran	Portugalská restaurace
Pre School	Предучилищно заведение	Predškolska ustanova	Mateřská škola
Preserve	Защитена зона	Reservat	Chráněná oblast
Primary School	Начално училище	Osnovna škola	Základní škola
Private Airport	Частно летище	Privatni aerodrom	Soukromé letiště
Private Club	Частен клуб	Privatni klub	Soukromý klub
Provençal Restaurant	Провансалски ресторант	Provansalski restoran	Provensálská restaurace
Pub Food Restaurant	Пъб	Pub sa hranom	Pivnice s jídlem
Public Airport	Обществено летище	Javni aerodrom	Veřejné letiště
Public Transport Ticket Office	Каса за градски транспорт	Šalter za karte javnog prevoza	Pokladna pro veřejnou dopravu
Race Track	Писта за състезания	Traka za trke	Závodní okruh
Recreational Marijuana Dispensary	Аптека за рекреационна марихуана	Dispanzer rekreacijske marihuane	Lékárna s rekreační marihuanou
Retirement Community	Дом за пенсионери	Starački dom	Domov důchodců
River Scenic Area	Живописна речна зона	Livopisno područje rijeke	Malebná říční oblast
Rock Climbing Trail	Пътека за катерене по скали	Staza za penjanje po stijenama	Stezka pro lezení po skalách
Romanian Restaurant	Румънски ресторант	Rumunski restoran	Rumunská restaurace
Rowing Club	Клуб по гребане	Veslački klub	Veslařský klub
Rugby Club	Ръгби клуб	Ragbi klub	Regby klub
Rugby Ground	Ръгби игрище	Ragbi teren	Regbyové hřiště
Running Club	Клуб по бягане	Klub trčanja	Běžecký klub
Russian Restaurant	Руски ресторант	Ruski restoran	Ruská restaurace
Sailing Club	Яхтен клуб	Jedrilački klub	Jachtařský klub
Salad Bar	Салатен бар	Salata bar	Salátový bar
Sandwich Restaurant	Сандвичарница	Restoran sa sendvičima	Sandwicherie
Savoy Restaurant	Савойски ресторант	Savojski restoran	Savoyská restaurace
Scandinavian Restaurant	Скандинавски ресторант	Skandinavski restoran	Skandinavská restaurace
Scottish Restaurant	Шотландски ресторант	Škotski restoran	Skotská restaurace
Scuba Diving Club	Клуб по водолазно гмуркане	Klub ronjenja	Potápěčský klub
Seafood Restaurant	Ресторант за морски дарове	Restoran sa morskom hranom	Restaurace s mořskými plody
Seashore	Морски бряг	Obala mora	Mořské pobřeží
Senior High School	Гимназия	Srednja škola	Gymnázium
Shandong Restaurant	Ресторант Шандун	Shandong restoran	Restaurace Shandong
Shanghainese Restaurant	Шанхайски ресторант	Šangajski restoran	Šanghajská restaurace
Shooting Club	Стрелковен клуб	Strelački klub	Střelecký klub
Sichuan Restaurant	Ресторант Сечуан	Sichuan restoran	Restaurace Sichuan
Sicilian Restaurant	Сицилиански ресторант	Sicilijski restoran	Sicilská restaurace
Skateboard Club	Клуб по скейтборд	Skejt klub	Skateboardový klub
Ski Resort	Ски курорт	Ski centar	Lyžařské středisko
Skiing Club	Клуб по ски	Skijaški klub	Lyžařský klub
Slavic Restaurant	Славянски ресторант	Slovenski restoran	Slovanská restaurace
Slovak Restaurant	Словашки ресторант	Slovački restoran	Slovenská restaurace
Snacks Restaurant	Ресторант за закуски	Restoran sa užinama	Bistro
Snooker, Pool or Billiard Centre	Център за снукър и билярд	Centar za snooker i bilijar	Centrum pro snooker a kulečník
Soccer Club	Футболен клуб	Fudbalski klub	Fotbalový klub
Soccer Stadium	Футболен стадион	Fudbalski stadion	Fotbalový stadion
Soul Food	Соул фууд	Soul food	Soul food
Soup Restaurant	Ресторант за супи	Restoran sa čorbama	Polévková restaurace
Spanish Restaurant	Испански ресторант	Španski restoran	Španělská restaurace
Special Clothing and Accessories Shop	Специализиран магазин за облекло и аксесоари	Specijalizirana prodavnica odjeće i dodataka	Specializovaný obchod s oblečením a doplňky
Special School	Специализирано училище	Specijalna škola	Speciální škola
Specialist	Специалист	Specijalista	Specialista
Specialized Hospital	Специализирана болница	Specijalna bolnica	Specializovaná nemocnice
Sport School	Спортно училище	Sportska škola	Sportovní škola
Sports Clothing and Accessories Shop	Магазин за спортно облекло и аксесоари	Prodavnica sportske odjeće i dodataka	Obchod se sportovním oblečením a doplňky
Squash Club	Клуб по скуош	Skvoš klub	Squashový klub
Squash Court	Корт за скуош	Skvoš teren	Squashový kurt
Steak House	Стейкхаус	Steakhouse	Steakhouse
Subway Station	Метростанция	Metro stanica	Stanice metra
Sudanese Restaurant	Судански ресторант	Sudanski restoran	Súdánská restaurace
Surinamese Restaurant	Суринамски ресторант	Surinamski restoran	Surinamská restaurace
Sushi Restaurant	Суши ресторант	Sushi restoran	Sushi restaurace
Swedish Restaurant	Шведски ресторант	Švedski restoran	Švédská restaurace
Swimming Club	Клуб по плуване	Plivački klub	Plavecký klub
Swimming Pool	Плувен басейн	Bazen	Bazén
Swiss Restaurant	Швейцарски ресторант	Švicarski restoran	Švýcarská restaurace
Synagogue	Синагога	Sinagoga	Synagoga
Syrian Restaurant	Сирийски ресторант	Sirijski restoran	Syrská restaurace
Table Tennis Club	Клуб по тенис на маса	Klub stonog tenisa	Klub stolního tenisu
Taiwanese Restaurant	Тайвански ресторант	Tajvanski restoran	Tchajwanská restaurace
Takeaway Food	Храна за вкъщи	Hrana za ponijeti	Jídlo s sebou
Tapas Restaurant	Тапас бар	Tapas restoran	Tapas bar
Taxi Limousine And Shuttle Service Company	Такси и лимузинска услуга	Taksi i limuzin servis	Taxislužba a kyvadlová doprava
Technical School	Техническо училище	Tehnička škola	Technická škola
Temple	Храм	Hram	Chrám
Tennis Club	Тенис клуб	Teniski klub	Tenisový klub
Tennis Court	Тенис корт	Teniski teren	Tenisový kurt
Teppanyaki Restaurant	Ресторант тепаняки	Teppanyaki restoran	Teppanyaki restaurace
Thai Restaurant	Тайландски ресторант	Tajlandski restoran	Thajská restaurace
Tibetan Restaurant	Тибетски ресторант	Tibetanski restoran	Tibetská restaurace
Tourist Information Office	Туристическа информация	Turistička informacija	Turistické informační centrum
Tram Stop	Трамвайна спирка	Tramvajska stanica	Tramvajová zastávka
Transport Company	Транспортна компания	Transportna kompanija	Dopravní společnost
Truck Parking Facility	Паркинг за камиони	Parking za kamione	Parkoviště pro nákladní vozy
Truck Stop	Камионна спирка	Stanica za kamione	Odpočívadlo pro kamiony
Truck Wash	Автомивка за камиони	Pranje kamiona	Mytí nákladních vozů
Tunisian Restaurant	Тунизийски ресторант	Tuniski restoran	Tuniská restaurace
Turkish Restaurant	Турски ресторант	Turski restoran	Turecká restaurace
Tyres Service	Сервиз за гуми	Servis za gume	Pneuservis
Urban Railway Station	Градска жп гара	Gradska željeznička stanica	Městská železniční stanice
Uruguayan Restaurant	Уругвайски ресторант	Urugvajski restoran	Uruguayská restaurace
Vegan Restaurant	Вегански ресторант	Veganski restoran	Veganská restaurace
Vegetarian Restaurant	Вегетариански ресторант	Vegetarijanski restoran	Vegetariánská restaurace
Venezuelan Restaurant	Венецуелски ресторант	Venecuelanski restoran	Venezuelská restaurace
Vietnamese Restaurant	Виетнамски ресторант	Vijetnamski restoran	Vietnamská restaurace
Vocational School	Професионално училище	Stručna škola	Odborná škola
Volleyball Club	Волейболен клуб	Odbojkaški klub	Volejbalový klub
Welsh Restaurant	Уелски ресторант	Velški restoran	Waleská restaurace
Western Restaurant	Ресторант в западен стил	Zapadnjački restoran	Západní restaurace
Wilderness Area	Дива природа	Objekat divljine	Divoká příroda
Wine Bar	Винарна	Vinoteka	Vinárna
