name_en	translation_bg	translation_et	translation_fi
Adventure Vehicle Trail	Маршрут за офроуд превозни средства	Maasturisõiduki rada	Maastoajoneuvoreitti
Aerospace Company	Авиокосмическа компания	Lennundusettevõte	Ilmailu- ja avaruusyritys
Afghan Restaurant	Афганистански ресторант	Afganistani restoran	Afganistanilainen ravintola
Airfield	Летище	Lennuväli	Lentokenttä
Airline Company	Авиокомпания	Lennufirma	Lentoyhtiö
Algerian Restaurant	Алжирски ресторант	Alžeeria restoran	Algerialainen ravintola
American Football Club	Клуб по американски футбол	Ameerika jalgpalluklubi	Amerikkalaisen jalkapallon seura
American Football Stadium	Стадион за американски футбол	Ameerika jalgpallistaadion	Amerikkalaisen jalkapallon stadion
Amphitheater	Амфитеатър	Amfiteater	Amfiteatteri
Arabian Restaurant	Арабски ресторант	Araabia restoran	Arabialainen ravintola
Arboretum or Botanical Garden	Дендрариум или ботаническа градина	Arboreetum või botaanikaaed	Arboretum tai kasvitieteellinen puutarha
Argentinian Restaurant	Аржентински ресторант	Argentina restoran	Argentiinalainen ravintola
Armenian Restaurant	Арменски ресторант	Armeenia restoran	Armenialainen ravintola
Art School	Художествено училище	Kunstikool	Taideoppilaitos
Asian Restaurant	Азиатски ресторант	Aasia restoran	Aasialainen ravintola
Athletics Club	Клуб по лека атлетика	Kergejõustikuklubi	Yleisurheiluseura
Athletics Track	Лекоатлетическа писта	Kergejõustikurada	Yleisurheilurata
Australian Restaurant	Австралийски ресторант	Austraalia restoran	Australialainen ravintola
Automotive Industry	Автомобилна индустрия	Autotööstus	Autoteollisuus
Baseball Club	Бейзбол клуб	Pesapalluklubi	Baseballseura
Baseball Park	Бейзбол стадион	Pesapalliplats	Baseballkenttä
Basketball Club	Баскетболен клуб	Korvpalluklubi	Koripalloseura
Basketball Stadium	Баскетболна зала	Korvpallistaadion	Koripallostadion
Basque Restaurant	Баски ресторант	Baski restoran	Baskilainen ravintola
Beach Volleyball Club	Клуб по плажен волейбол	Rannavõrkpalluklubi	Rantalentopalloseura
Bolivian Restaurant	Боливийски ресторант	Boliivia restoran	Bolivialainen ravintola
Bosnian Restaurant	Босненски ресторант	Bosnia restoran	Bosnialainen ravintola
Boules Club	Клуб по петанк	Petanque'i klubi	Petanque-seura
Bowls Club	Клуб по лавнбоулинг	Murukeegluklubi	Nurmikeilailuseura
Brazilian Restaurant	Бразилски ресторант	Brasiilia restoran	Brasilialainen ravintola
Buffet Restaurant	Ресторант тип бюфе	Buffet-restoran	Buffet-ravintola
Bulgarian Restaurant	Български ресторант	Bulgaaria restoran	Bulgarialainen ravintola
Burmese Restaurant	Бирмански ресторант	Birma restoran	Burmalainen ravintola
Bus Stop	Автобусна спирка	Bussipeatus	Bussipysäkki
Cabaret Theater	Кабаре театър	Kabaree	Kabaree
Cajun Restaurant	Кейджънски ресторант	Cajun-restoran	Cajun-ravintola
Cambodian Restaurant	Камбоджански ресторант	Kambodža restoran	Kambodžalainen ravintola
Canoe Club	Клуб по кану	Kanuuklubi	Kanoottikerho
Car Bodyshop	Автосервиз за каросерия	Autokeretöökoda	Autokorjaamo
Car Glass Replacement Shop	Автостъклар	Autoklaasitöökoda	Autolasinvaihto
Car Parking Facility	Паркинг за автомобили	Parkla	Pysäköintialue
Caribbean Restaurant	Карибски ресторант	Kariibi restoran	Karibialainen ravintola
Chicken Restaurant	Ресторант за пилешко	Kanarestoran	Kanaravintola
Chicken Wings Restaurant	Ресторант за пилешки крилца	Kanatiibade restoran	Kanansiipien ravintola
Chilean Restaurant	Чилийски ресторант	Tšiili restoran	Chileläinen ravintola
Chinese Restaurant	Китайски ресторант	Hiina restoran	Kiinalainen ravintola
Church	Църква	Kirik	Kirkko
Climbing Club	Клуб по катерене	Ronimisklubi	Kiipeilyseura
Clothing and Accessories Shop for Children	Магазин за детски дрехи и аксесоари	Laste riide- ja aksessuaaride pood	Lasten vaate- ja asustemyymälä
Clothing and Accessories Shop for Men	Магазин за мъжки дрехи и аксесоари	Meeste riide- ja aksessuaaride pood	Miesten vaate- ja asustemyymälä
Clothing and Accessories Shop for Women	Магазин за дамски дрехи и аксесоари	Naiste riide- ja aksessuaaride pood	Naisten vaate- ja asustemyymälä
Coach Parking Facility	Паркинг за автобуси	Bussiparkla	Linja-autojen pysäköintialue
Coach Stop	Спирка за автобуси	Bussipeatus	Linja-autopysäkki
Cocktail Bar	Коктейл бар	Kokteilbaar	Cocktail-baari
Colombian Restaurant	Колумбийски ресторант	Colombia restoran	Kolumbialainen ravintola
Concert Hall	Концертна зала	Kontserdisaal	Konserttisali
Corsican Restaurant	Корсикански ресторант	Korsika restoran	Korsikalainen ravintola
Creole Restaurant	Креолски ресторант	Kreoolrestoran	Kreolillainen ravintola
Cricket Club	Крикет клуб	Krikiklubi	Krikettiseura
Cricket Ground	Крикет игрище	Krikiväljak	krikettikenttä
Cuban Restaurant	Кубински ресторант	Kuuba restoran	Kuubalainen ravintola
Culinary School	Кулинарно училище	Kokkadkool	Ruoanvalmistusoppilaitos
Cycling Club	Клуб по колоездене	Jalgrattaklubi	Pyöräilyseura
Cypriot Restaurant	Кипърски ресторант	Küprose restoran	Kyproslainen ravintola
Czech Restaurant	Чешки ресторант	Tšehhi restoran	Tšekkiläinen ravintola
Danish Restaurant	Дански ресторант	Taani restoran	Tanskalainen ravintola
Dinner Theater	Театър с вечеря	Õhtusöögiteater	Illallisteatteri
Discotheque	Дискотека	Diskoteek	Disko
Dominican Restaurant	Доминикански ресторант	Dominikaani restoran	Dominikaaninen ravintola
Dongbei Restaurant	Ресторант с кухня от Дунбей	Dongbei restoran	Dongbei-ravintola
Doughnut Restaurant	Ресторант за понички	Sõõrikurestoran	Donitsien ravintola
Drive Through Bottle Shop	Магазин за напитки с обслужване от автомобила	Läbisõiduteenusega joogipood	Autolla tilattava juomamyymälä
Drive-In Cinema	Автокино	Autokino	Autokino
Dutch Restaurant	Холандски ресторант	Hollandi restoran	Hollantilainen ravintola
Egyptian Restaurant	Египетски ресторант	Egiptuse restoran	Egyptiläinen ravintola
English Restaurant	Английски ресторант	Inglise restoran	Englantilainen ravintola
Erotic Restaurant	Еротичен ресторант	Erootilne restoran	Eroottinen ravintola
Ethiopian Restaurant	Етиопски ресторант	Etioopia restoran	Etiopialainen ravintola
Exotic Restaurant	Екзотичен ресторант	Eksootiline restoran	Eksoottinen ravintola
Fairground	Панаир	Laat	Tivoli
Fast Food Restaurant	Ресторант за бързо хранене	Kiirtoidurestoran	Pikaruokaravintola
Field Hockey Club	Клуб по хокей на трева	väljakuhokiklubi	Maahockeyseura
Field Hockey Ground	Игрище за хокей на трева	väljakuhokiväljak	Maahockeykenttä
Finnish Restaurant	Фински ресторант	Soome restoran	Suomalainen ravintola
Fondue Restaurant	Ресторант за фондю	Fondue-restoran	Fondue-ravintola
French Restaurant	Френски ресторант	Prantsuse restoran	Ranskalainen ravintola
Fusion Restaurant	Ресторант с фюжън кухня	Fusion restoran	Fusion-ravintola
Gas Industry	Газова индустрия	Gaasitööstus	Kaasuteollisuus
General Practitioner	Общопрактикуващ лекар	Perearst	Yleislääkäri
German Restaurant	Немски ресторант	Saksa restoran	Saksalainen ravintola
Golf Club	Голф клуб	Golfiklubi	Golfseura
Greek Restaurant	Гръцки ресторант	Kreeka restoran	Kreikkalainen ravintola
Grill Restaurant	Грил ресторант	Grillrestoran	Grilliravintola
Guangdong Restaurant	Ресторант с кухня от Гуандун	Guangdongi restoran	Guangdong-ravintola
Gurudwara	Гурудвара	Gurudwara	Gurudwara
Gymnastics Club	Клуб по гимнастика	Võimlemisklubi	Voimisteluseura
Hamburger Restaurant	Хамбургер ресторант	Hamburgerrestoran	Hampurilaisravintola
Hawaiian Restaurant	Хавайски ресторант	Hawaii restoran	Havaijilainen ravintola
High School	Гимназия	Gümnaasium	Lukio
Hiking Trail	Туристическа пътека	Matkarada	Vaellusreitti
Historic Site	Историческо място	Ajalooline vaatamisväärsus	Historiallinen kohde
Historical Park	Исторически парк	Ajalooline park	Historiallinen puisto
Hockey Club	Хокеен клуб	Hokiklubi	Jääkiekkoseura
Horse Race Track	Хиподрум	Hobuväljak	Hevoskilparata
Horse Riding Club	Клуб по конна езда	Ratsaseltsklubi	Ratsastusseura
Horse Riding Trail	Маршрут за конна езда	Ratsatamise rada	Ratsastusreitti
Hospital for Women and Children	Болница за жени и деца	Naiste- ja lastehaigla	Naisten ja lasten sairaala
Hospital of Chinese Medicine	Болница за китайска медицина	Hiina meditsiini haigla	Kiinalaisen lääketieteen sairaala
Hot Pot Restaurant	Ресторант за горещо гърне	Fonduepotiga restoran	Hot pot -ravintola
Hunan Restaurant	Ресторант с кухня от Хунан	Hunani restoran	Hunan-ravintola
Hungarian Restaurant	Унгарски ресторант	Ungari restoran	Unkarilainen ravintola
Ice Cream Parlor	Сладкарница за сладолед	Jäätisesalong	Jäätelöbaari
Ice Hockey Arena	Зала за хокей на лед	Jäähokiarena	Jäähalli
Ice Hockey Club	Клуб по хокей на лед	Jäähokiklubi	Jääkiekkoseura
Indian Restaurant	Индийски ресторант	India restoran	Intialainen ravintola
Indonesian Restaurant	Индонезийски ресторант	Indoneesia restoran	Indonesialainen ravintola
International Railway Station	Международна жп гара	Rahvusvaheline raudteejaam	Kansainvälinen rautatieasema
International Restaurant	Интернационален ресторант	Rahvusvaheline restoran	Kansainvälinen ravintola
Iranian Restaurant	Ирански ресторант	Iraani restoran	Iranilainen ravintola
Irish Restaurant	Ирландски ресторант	Iiri restoran	Irlantilainen ravintola
Israeli Restaurant	Израелски ресторант	Iisraeli restoran	Israelilainen ravintola
Italian Restaurant	Италиански ресторант	Itaalia restoran	Italialainen ravintola
Japanese Restaurant	Японски ресторант	Jaapani restoran	Japanilainen ravintola
Jazz Club	Джаз клуб	Jazzklubi	Jazz-klubi
Jewish Restaurant	Еврейски ресторант	Juudi restoran	Juutalainen ravintola
Karaoke Bar	Караоке бар	Karaokebaar	Karaoke-baari
Korean Restaurant	Корейски ресторант	Korea restoran	Korealainen ravintola
Kosher Restaurant	Кошер ресторант	Košer-restoran	Kosher-ravintola
Lakeshore	Езерен бряг	Järvekallas	Järvenranta
Latin American Restaurant	Латиноамерикански ресторант	Ladina-Ameerika restoran	Latinalaisamerikkalainen ravintola
Lebanese Restaurant	Ливански ресторант	Liibanoni restoran	Libanonilainen ravintola
Local Post Office	Местна поща	Kohalik postikontor	Paikallinen postitoimisto
Luxembourgian Restaurant	Люксембургски ресторант	Luksemburgi restoran	Luxemburgilainen ravintola
Macrobiotic Restaurant	Макробиотичен ресторант	Makrobiootiline restoran	Makrobioottinen ravintola
Maghrib Restaurant	Магребски ресторант	Magribi restoran	Maghrebilainen ravintola
Maltese Restaurant	Малтийски ресторант	Malta restoran	Maltalainen ravintola
Mauritian Restaurant	Мавританийски ресторант	Mauritiuse restoran	Mauritiuslainen ravintola
Medicinal Marijuana Dispensary	Аптека за медицинска марихуана	Meditsiiniline kanepiravikeskus	Lääkinnällisen kannabiksen apteekki
Mediterranean Restaurant	Средиземноморски ресторант	Vahemere restoran	Välimeerinen ravintola
Mexican Restaurant	Мексикански ресторант	Mehhiko restoran	Meksikolainen ravintola
Middle Eastern Restaurant	Ресторант с ближноизточна кухня	Lähis-Ida restoran	Lähi-idän ravintola
Middle School	Основно училище	Põhikool	Yläkoulu
Military Airport	Военно летище	Sõjaväelennuväli	Sotilaslentoasema
Mining Company	Минна компания	Kaevandusettevõte	Kaivosyhtiö
Mongolian Restaurant	Монголски ресторант	Mongoolia restoran	Mongolialainen ravintola
Moroccan Restaurant	Марокански ресторант	Maroko restoran	Marokkolainen ravintola
Mosque	Джамия	Mošee	Moskeija
Motor Racing Stadium	Стадион за моторни състезания	Mootorispordiareen	Moottoriurheiluareena
Motor Sport Club	Клуб по моторен спорт	Mootorispordiklubi	Moottoriurheiluseura
Motorcycle Racing Club	Клуб по мотоциклетни състезания	Motospordi klubi	Moottoripyöräkilpailu seura
Mountain Bike Trail	Маршрут за планински велосипед	Mägirattarada	Maastopyöräreitti
Multi-Purpose Sport Stadium	Многофункционален спортен стадион	Mitmeotstarbeline staadion	Monitoimiareena
Music and Video Rental Shop	Магазин за наем на музика и видео	Muusika- ja videolaenutuspood	Musiikki- ja videovuokraamo
Music Center	Музикален център	Muusikakeskus	Musiikkikeskus
Mussels Restaurant	Ресторант за миди	Austrite restoran	Simpukkaravintola
Nail Salon	Маникюрен салон	Küünesalong	Kynsihoitola
National Railway Station	Национална жп гара	Riiklik raudteejaam	Valtion rautatieasema
Natural Recreation Attraction	Природна рекреационна атракция	Looduspuhkeala	Luonnonvirkistysalue
Nepalese Restaurant	Непалски ресторант	Nepali restoran	Nepalilainen ravintola
Netball Club	Нетбол клуб	netpalliklubi	Verkkopalloiluseura
Netball Stadium	Нетбол стадион	netpallistaadion	Verkkopalloilustadion
Norwegian Restaurant	Норвежки ресторант	Norra restoran	Norjalainen ravintola
Oil Industry	Нефтена индустрия	Naftätööstus	Öljyteollisuus
Opera House	Операна къща	Ooperimaja	Oopperatalo
Organic Food Restaurant	Ресторант за био храни	ökorestoran	Luomuravintola
Oriental Restaurant	Ориенталски ресторант	Ida restoran	Itämainen ravintola
Pagoda	Пагода	Pagood	Pagodi
Pakistani Restaurant	Пакистански ресторант	Pakistani restoran	Pakistanilainen ravintola
Pancake House	Палачинкарница	Pannkoogirestoran	Pannukakkuravintola
Parkway	Паркова алея	Pargitee	Puistotie
Peruvian Restaurant	Перуански ресторант	Peruu restoran	Perulainen ravintola
Pharmaceutical Industry	Фармацевтична индустрия	Farmaatsiatööstus	Lääketeollisuus
Philippine Restaurant	Филипински ресторант	Filipiini restoran	Filippiiniläinen ravintola
Pizzeria	Пицария	Pitsakohvik	Pizzeria
Polish Restaurant	Полски ресторант	Poola restoran	Puolalainen ravintola
Polynesian Restaurant	Полинезийски ресторант	Polüneesia restoran	Polynesialainen ravintola
Portuguese Restaurant	Португалски ресторант	Portugali restoran	Portugalilainen ravintola
Pre School	Предучилище	Lasteaed	Esikoulu
Preserve	Резерват	Kaitseala	Luonnonsuojelualue
Primary School	Начално училище	Algkool	Ala-aste
Private Airport	Частно летище	Eralennuväli	Yksityinen lentoasema
Private Club	Частен клуб	Eraklubi	Yksityiskerho
Provençal Restaurant	Провансалски ресторант	Provence'i restoran	Provencelainen ravintola
Pub Food Restaurant	Пъб	Pubi-restoran	Pubiruoka
Public Airport	Публично летище	Avalik lennuväli	Julkinen lentoasema
Public Transport Ticket Office	Каса за градски транспорт	Ühistranspordi piletimüük	Joukkoliikenteen lipputoimisto
Race Track	Състезателна писта	Võidusõidurada	Kilparata
Recreational Marijuana Dispensary	Аптека за рекреационна марихуана	Meelelahutusliku kanepi ravikeskus	Virkistyskäyttöön tarkoitetun kannabiksen apteekki
Retirement Community	Дом за пенсионери	Pensionäride kogukond	Eläkeläisyhteisö
River Scenic Area	Речна живописна зона	Jõevaade	Jokimaisema-alue
Rock Climbing Trail	Маршрут за катерене	Kaljuronimirada	Kalliokiipeily-reitti
Romanian Restaurant	Румънски ресторант	Rumeenia restoran	Romanialainen ravintola
Rowing Club	Клуб по гребане	Sõudeklubi	soutuseura
Rugby Club	Ръгби клуб	Rugbiklubi	Rugby-seura
Rugby Ground	Ръгби игрище	Rugbiväljak	Rugby-kenttä
Running Club	Клуб по бягане	Jooksuklubi	Juoksuseura
Russian Restaurant	Руски ресторант	Vene restoran	Venäläinen ravintola
Sailing Club	Клуб по ветроходство	Purjetamisklubi	Purjehdusseura
Salad Bar	Салатен бар	Salatibuffer	Salaattibaari
Sandwich Restaurant	Ресторант за сандвичи	Võileivakohvik	Voileipäravintola
Savoy Restaurant	Савойски ресторант	Savoia restoran	Savojilainen ravintola
Scandinavian Restaurant	Скандинавски ресторант	Skandinaavia restoran	Skandinaavinen ravintola
Scottish Restaurant	Шотландски ресторант	Šoti restoran	Skotlantilainen ravintola
Scuba Diving Club	Клуб по гмуркане	Sukeldumsklubi	Sukellusseura
Seafood Restaurant	Ресторант за морски дарове	Mereannidega restoran	Äyriäisravintola
Seashore	Морски бряг	Rannik	Meren ranta
Senior High School	Гимназия	Gümnaasium	Lukio
Shandong Restaurant	Ресторант с кухня от Шандун	Shandongi restoran	Shandong-ravintola
Shanghainese Restaurant	Шанхайски ресторант	Shanghai restoran	Shanghailainen ravintola
Shooting Club	Клуб по стрелба	Lasketiruklubi	Ampumaseura
Sichuan Restaurant	Сечуански ресторант	Sichuani restoran	Sichuan-ravintola
Sicilian Restaurant	Сицилиански ресторант	Sitsiilia restoran	Sisilialainen ravintola
Skateboard Club	Клуб по скейтборд	Rulaklutsiklubi	Rullalautailuseura
Ski Resort	Ски курорт	Suusakuurort	Hiihtokeskus
Skiing Club	Клуб по ски	Suusaklubi	Hiihtoseura
Slavic Restaurant	Славянски ресторант	Slaavi restoran	Slaavilainen ravintola
Slovak Restaurant	Словашки ресторант	Slovaki restoran	Slovakialainen ravintola
Snacks Restaurant	Ресторант за закуски	Suupistete restoran	Välipalravintola
Snooker, Pool or Billiard Centre	Център за снукър и билярд	Snuukri- ja piljardikeskus	Snooker- ja biljardikeskus
Soccer Club	Футболен клуб	Jalgpalliklubi	Jalkapalloseura
Soccer Stadium	Футболен стадион	Jalgpallistaadion	Jalkapallostadion
Soul Food	Соул фууд ресторант	Soul foodi restoran	Soul food -ravintola
Soup Restaurant	Ресторант за супи	Supirestoran	Keittoravintola
Spanish Restaurant	Испански ресторант	Hispaania restoran	Espanjalainen ravintola
Special Clothing and Accessories Shop	Специализиран магазин за дрехи и аксесоари	Eriline riide- ja aksessuaaride pood	Erikoisvaatemyymälä
Special School	Специализирано училище	Erikool	Erityisoppilaitos
Specialist	Специалист	Spetsialist	Erikoislääkäri
Specialized Hospital	Специализирана болница	Erihaigla	Erikoissairaala
Sport School	Спортно училище	Spordikool	Urheiluoppilaitos
Sports Clothing and Accessories Shop	Магазин за спортни дрехи и аксесоари	Spordivarustuse pood	Urheiluvälinemyymälä
Squash Club	Сквош клуб	Squashklubi	Squash-seura
Squash Court	Сквош корт	Squashväljak	Squash-kenttä
Steak House	Стейк хаус	Stegirestoran	Pihviravintola
Subway Station	Метростанция	Metroojaag	Metroasema
Sudanese Restaurant	Судански ресторант	Sudaani restoran	Sudanilainen ravintola
Surinamese Restaurant	Суринамски ресторант	Suriname restoran	Surinamlainen ravintola
Sushi Restaurant	Суши ресторант	Sushirestoran	Sushi-ravintola
Swedish Restaurant	Шведски ресторант	Rootsi restoran	Ruotsalainen ravintola
Swimming Club	Клуб по плуване	Ujumisklubi	Uimaseura
Swimming Pool	Плувен басейн	Ujula	Uima-allas
Swiss Restaurant	Швейцарски ресторант	Šveitsi restoran	Sveitsiläinen ravintola
Synagogue	Синагога	Sünagoog	Synagoga
Syrian Restaurant	Сирийски ресторант	Süüria restoran	Syyrialainen ravintola
Table Tennis Club	Клуб по тенис на маса	Lauatennieklubi	Pöytätennisseura
Taiwanese Restaurant	Тайвански ресторант	Taiwani restoran	Taiwanilainen ravintola
Takeaway Food	Храна за вкъщи	Kaasa saadav toit	Noutoravintola
Tapas Restaurant	Тапас ресторант	Tapaste restoran	Tapas-ravintola
Taxi Limousine And Shuttle Service Company	Такси лимузини и шатъл услуги	Takso-, limusiin- ja lähiteenindus	Taksi-, limusine- ja kuljetuspalvelu
Technical School	Техническо училище	Tehnikakool	Tekninen oppilaitos
Temple	Храм	Tempel	Temppeli
Tennis Club	Тенис клуб	Tenniseklubi	Tennisseura
Tennis Court	Тенис корт	Tenniseväljak	Tenniskenttä
Teppanyaki Restaurant	Тепанияки ресторант	Teppanyaki restoran	Teppanyaki-ravintola
Thai Restaurant	Тайландски ресторант	Tai restoran	Thaimaalainen ravintola
Tibetan Restaurant	Тибетски ресторант	Tiibeti restoran	Tibetiläinen ravintola
Tourist Information Office	Туристически информационен офис	Turismüinfokeskus	Matkailuneuvonta
Tram Stop	Трамвайна спирка	Trammipeatus	Raitiovaunupysäkki
Transport Company	Транспортна компания	Transpordiettevõte	Kuljetusyritys
Truck Parking Facility	Паркинг за камиони	Veoautoparkla	Kuorma-autopysäköintialue
Truck Stop	Спирка за камиони	Veoautode peatuskoht	Kuorma-autopysäkki
Truck Wash	Автомивка за камиони	Veoautode pesula	Kuorma-autojen pesula
Tunisian Restaurant	Тунизийски ресторант	Tuneesia restoran	Tunisialainen ravintola
Turkish Restaurant	Турски ресторант	Türgi restoran	Turkkilainen ravintola
Tyres Service	Сервиз за гуми	Rehviteenus	Rengashuolto
Urban Railway Station	Градска жп гара	Linnasisene raudteejaam	Kaupungin rautatieasema
Uruguayan Restaurant	Уругвайски ресторант	Uruguay restoran	Uruguaylainen ravintola
Vegan Restaurant	Веган ресторант	Veganirestoran	Vegaaniravintola
Vegetarian Restaurant	Вегетариански ресторант	Taimtoidurestoran	Kasvisravintola
Venezuelan Restaurant	Венецуелски ресторант	Venezuela restoran	Venezuelalainen ravintola
Vietnamese Restaurant	Виетнамски ресторант	Vietnami restoran	Vietnamilainen ravintola
Vocational School	Професионално училище	Kutsekool	Ammattikoulu
Volleyball Club	Волейболен клуб	Võrkpalluklubi	Lentopalloseura
Welsh Restaurant	Уелски ресторант	Walesi restoran	Walesilainen ravintola
Western Restaurant	Западен ресторант	Lääne restoran	Länsimainen ravintola
Wilderness Area	Дива природа	Metsikala	Erämaa-alue
Wine Bar	Винарна	Veinibuar	Viinibaari
