name_en	translation_sr	translation_bg	translation_ro
Adventure Vehicle Trail	Офроуд стаза	Пътека за офроуд превозни средства	Traseu pentru vehicule off-road
Aerospace Company	Аерокосмичка компанија	Аерокосмическа компания	Companie aerospațială
Afghan Restaurant	Афганистански ресторан	Афганистански ресторант	Restaurant afgan
Airfield	Летиште	Летище	Aerodrom
Airline Company	Авиокомпанија	Авиокомпания	Companie aeriană
Algerian Restaurant	Алжирски ресторан	Алжирски ресторант	Restaurant algerian
American Football Club	Клуб америчког фудбала	Клуб по американски футбол	Club de fotbal american
American Football Stadium	Стадион америчког фудбала	Стадион за американски футбол	Stadion fotbal american
Amphitheater	Амфитеатар	Амфитеатър	Amfiteatru
Arabian Restaurant	Арапски ресторан	Арабски ресторант	Restaurant arab
Arboretum or Botanical Garden	Арборетум или ботаничка башта	Арборетум или ботаническа градина	Arboretum sau grădină botanică
Argentinian Restaurant	Аргентински ресторан	Аржентински ресторант	Restaurant argentinian
Armenian Restaurant	Јерменски ресторан	Арменски ресторант	Restaurant armean
Art School	Школа за уметност	Школа по изкуства	Școală de artă
Asian Restaurant	Азијски ресторан	Азиатски ресторант	Restaurant asiatic
Athletics Club	Атлетски клуб	Атлетически клуб	Club de atletism
Athletics Track	Атлетска стаза	Атлетическа писта	Pistă de atletism
Australian Restaurant	Аустралијски ресторан	Австралийски ресторант	Restaurant australian
Automotive Industry	Аутомобилска индустрија	Автомобилна индустрия	Industria auto
Baseball Club	Клуб бејзбол	Клуб по бейзбол	Club de baseball
Baseball Park	Бејзбол терен	Поле за бейзбол	Stadion baseball
Basketball Club	Кошаркашки клуб	Клуб по баскетбол	Club de baschet
Basketball Stadium	Кошаркашки стадион	Стадион по баскетбол	Stadion de baschet
Basque Restaurant	Баскијски ресторан	Баски ресторант	Restaurant basc
Beach Volleyball Club	Клуб одбојке на песку	Клуб плажен волейбол	Club volei pe plajă
Bolivian Restaurant	Боливијски ресторан	Боливийски ресторант	Restaurant bolivian
Bosnian Restaurant	Босански ресторан	Босненски ресторант	Restaurant bosniac
Boules Club	Клуб петанк	Клуб по петанк	Club de petanque
Bowls Club	Клуб боулс	Клуб по боулс	Club bowls
Brazilian Restaurant	Бразилски ресторан	Бразилски ресторант	Restaurant brazilian
Buffet Restaurant	Буфет ресторан	Бюфет ресторант	Restaurant tip bufet
Bulgarian Restaurant	Бугарски ресторан	Български ресторант	Restaurant bulgar
Burmese Restaurant	Бурмански ресторан	Бирмански ресторант	Restaurant birman
Bus Stop	Аутобуско стајалиште	Автобусна спирка	Stație de autobuz
Cabaret Theater	Кабаре театар	Кабарет театър	Teatru cabaret
Cajun Restaurant	Кејџун ресторан	Каджун ресторант	Restaurant cajun
Cambodian Restaurant	Камбоџански ресторан	Камбоджански ресторант	Restaurant cambodgian
Canoe Club	Кану клуб	Клуб по кану	Club de canoe
Car Bodyshop	Радионица за каросерије	Бояджийска работилница за каросерия	Service caroserii
Car Glass Replacement Shop	Замена аутостакала	Сервиз за смяна на автостъкла	Service schimb parbriz
Car Parking Facility	Паркинг	Паркинг	Parcare auto
Caribbean Restaurant	Карипски ресторан	Карибски ресторант	Restaurant caraibian
Chicken Restaurant	Ресторан са пилетином	Ресторант за пиле	Restaurant cu pui
Chicken Wings Restaurant	Ресторан са пилетином (крила)	Ресторант за пилешки крилца	Restaurant aripi de pui
Chilean Restaurant	Чилеански ресторан	Чилийски ресторант	Restaurant chilian
Chinese Restaurant	Кинески ресторан	Китайски ресторант	Restaurant chinezesc
Church	Црква	Църква	Biserică
Climbing Club	Клуб за пењање	Клуб по катерене	Club de escaladă
Clothing and Accessories Shop for Children	Дечија продавница одеће	Магазин за детски дрехи и аксесоари	Magazin haine copii
Clothing and Accessories Shop for Men	Мушка продавница одеће	Магазин за мъжки дрехи	Magazin haine bărbați
Clothing and Accessories Shop for Women	Женска продавница одеће	Магазин за дамски дрехи	Magazin haine femei
Coach Parking Facility	Паркинг за аутобусе	Паркинг за междуградски автобуси	Parcare autocare
Coach Stop	Станица међуградских аутобуса	Спирка за междуградски автобуси	Stație autobuze interurbane
Cocktail Bar	Коктел бар	Коктейл бар	Bar de cocktailuri
Colombian Restaurant	Колумбијски ресторан	Колумбийски ресторант	Restaurant columbian
Concert Hall	Концертна дворана	Концертна зала	Sală de concerte
Corsican Restaurant	Корзикански ресторан	Корсикански ресторант	Restaurant corsican
Creole Restaurant	Креолски ресторан	Креолски ресторант	Restaurant creol
Cricket Club	Крикет клуб	Клуб по крикет	Club de cricket
Cricket Ground	Крикет терен	Поле за крикет	Teren cricket
Cuban Restaurant	Кубански ресторан	Кубински ресторант	Restaurant cubanez
Culinary School	Кулинарска школа	Кулинарна школа	Școală culinară
Cycling Club	Велосипедни клуб	Клуб по колоездене	Club ciclism
Cypriot Restaurant	Кипарски ресторан	Кипърски ресторант	Restaurant cipriot
Czech Restaurant	Чешки ресторан	Чешки ресторант	Restaurant ceh
Danish Restaurant	Дански ресторан	Датски ресторант	Restaurant danez
Dinner Theater	Театарска вечера	Театър-ресторант	Teatru-dineu
Discotheque	Дискотека	Дискотека	Discotecă
Dominican Restaurant	Доминикански ресторан	Доминикански ресторант	Restaurant dominican
Dongbei Restaurant	Донгбеј ресторан	Ресторант Донгбей	Restaurant Dongbei
Doughnut Restaurant	Донат продавница	Донът магазин	Magazin gogoși
Drive Through Bottle Shop	Продавница пића со пропусним путем	Магазин за напитки с drive-through	Magazin băuturi drive-through
Drive-In Cinema	Кино на отворено	Кино drive-in	Cinema drive-in
Dutch Restaurant	Холандски ресторан	Холандски ресторант	Restaurant olandez
Egyptian Restaurant	Египатски ресторан	Египетски ресторант	Restaurant egiptean
English Restaurant	Енглески ресторан	Английски ресторант	Restaurant englezesc
Erotic Restaurant	Еротски ресторан	Еротичен ресторант	Restaurant erotic
Ethiopian Restaurant	Етиопски ресторан	Етиопски ресторант	Restaurant etiopian
Exotic Restaurant	Екзотичан ресторан	Екзотичен ресторант	Restaurant exotic
Fairground	Панаир	Панаир	Târg
Fast Food Restaurant	Фаст фуд ресторан	Ресторант за бързо хранене	Restaurant fast-food
Field Hockey Club	Клуб хокеј на терену	Клуб по хокей на трева	Club de hochei pe iarbă
Field Hockey Ground	Терен за хокеј	Поле за хокей на тревата	Teren de hochei pe iarbă
Finnish Restaurant	Фински ресторан	Финландски ресторант	Restaurant finlandez
Fondue Restaurant	Фондю ресторан	Ресторант фондю	Restaurant fondue
French Restaurant	Француски ресторан	Френски ресторант	Restaurant francez
Fusion Restaurant	Фузиони ресторан	Фюжън ресторант	Restaurant fusion
Gas Industry	Гасна индустрија	Газова индустрия	Industria gazeiferă
General Practitioner	Општи лекар	Общ лекар	Medic de familie
German Restaurant	Немачки ресторан	Германски ресторант	Restaurant german
Golf Club	Голф клуб	Клуб по голф	Club de golf
Greek Restaurant	Грчки ресторан	Гръцки ресторант	Restaurant grecesc
Grill Restaurant	Грил ресторан	Грил ресторант	Restaurant grill
Guangdong Restaurant	Гуандун ресторан	Кантонски (Гуандун) ресторант	Restaurant Guangdong
Gurudwara	Гурудвара	Гурудвара	Gurdwara
Gymnastics Club	Гимнастички клуб	Клуб по гимнастика	Club gimnastică
Hamburger Restaurant	Ресторант хамбургер	Магазин за хамбургери	Restaurant hamburger
Hawaiian Restaurant	Хавајски ресторан	Хавайски ресторант	Restaurant hawaiian
High School	Гимназија	Гимназия	Liceu
Hiking Trail	Планинарска стаза	Пътека за преход	Traseu de drumeție
Historic Site	Историско место	Исторически обект	Loc istoric
Historical Park	Историски парк	Исторически парк	Parc istoric
Hockey Club	Хокеј клуб	Клуб по хокей	Club hochei
Horse Race Track	Тркачка стаза	Писта за конни надбягвания	Hipodrom
Horse Riding Club	Клуб за јахање	Клуб по конен спорт	Club echitație
Horse Riding Trail	Путања за јахање	Пътека за езда	Traseu de echitație
Hospital for Women and Children	Болница за жене и децу	Болница за жени и деца	Spital pentru femei și copii
Hospital of Chinese Medicine	Болница кинеске медицине	Болница за китайска медицина	Spital medicină chineză
Hot Pot Restaurant	Хот пот ресторан	Хот пот ресторант	Restaurant hot pot
Hunan Restaurant	Хунан ресторан	Хунан ресторант	Restaurant Hunan
Hungarian Restaurant	Мађарски ресторан	Унгарски ресторант	Restaurant maghiar
Ice Cream Parlor	Сладоледница	Сладоледена къща	Gelaterie
Ice Hockey Arena	Арена хокеја на леду	Арена за хокей на лед	Arenă hochei pe gheață
Ice Hockey Club	Клуб хокеја на леду	Клуб по хокей на лед	Club hochei pe gheață
Indian Restaurant	Индијски ресторан	Индийски ресторант	Restaurant indian
Indonesian Restaurant	Индонежански ресторан	Индонезийски ресторант	Restaurant indonezian
International Railway Station	Међународна железничка станица	Международна жп гара	Gara internațională
International Restaurant	Међународни ресторан	Международен ресторант	Restaurant internațional
Iranian Restaurant	Ирански ресторан	Ирански ресторант	Restaurant iranian
Irish Restaurant	Ирски ресторан	Ирландски ресторант	Restaurant irlandez
Israeli Restaurant	Израелски ресторан	Израелски ресторант	Restaurant israelian
Italian Restaurant	Италијански ресторан	Италиански ресторант	Restaurant italian
Japanese Restaurant	Јапански ресторан	Японски ресторант	Restaurant japonez
Jazz Club	Џез клуб	Джаз клуб	Club de jazz
Jewish Restaurant	Јеврејски ресторан	Еврейски ресторант	Restaurant evreiesc
Karaoke Bar	Караоке бар	Караоке бар	Bar karaoke
Korean Restaurant	Кореијски ресторан	Корейски ресторант	Restaurant coreean
Kosher Restaurant	Кошер ресторан	Кошер ресторант	Restaurant kosher
Lakeshore	Обала језера	Крайбрежие на езеро	Malul lacului
Latin American Restaurant	Латиноамерички ресторан	Латиноамерикански ресторант	Restaurant latino-american
Lebanese Restaurant	Либански ресторан	Ливански ресторант	Restaurant libanez
Local Post Office	Пошта	Местна поща	Oficiu poștal local
Luxembourgian Restaurant	Луксембуршки ресторан	Люксембургски ресторант	Restaurant luxemburghez
Macrobiotic Restaurant	Макробиотички ресторан	Макробиотичен ресторант	Restaurant macrobiotic
Maghrib Restaurant	Магрибски ресторан	Магрибски ресторант	Restaurant Maghreb
Maltese Restaurant	Малташки ресторан	Малтийски ресторант	Restaurant maltez
Mauritian Restaurant	Мавритански ресторан	Маврицийски ресторант	Restaurant mauritian
Medicinal Marijuana Dispensary	Диспансер за медицинску марихуану	Диспансер за медицинска марихуана	Dispensar marijuana medicinală
Mediterranean Restaurant	Медитерани ресторан	Средиземноморски ресторант	Restaurant mediteranean
Mexican Restaurant	Мексички ресторан	Мексикански ресторант	Restaurant mexican
Middle Eastern Restaurant	Блискоисточни ресторан	Близкоизточен ресторант	Restaurant din Orientul Mijlociu
Middle School	Основна школа	Основно училище	Școală gimnazială
Military Airport	Војни аеродром	Военно летище	Aeroport militar
Mining Company	Рударска компанија	Добивна компания	Companie minieră
Mongolian Restaurant	Монголски ресторан	Монголски ресторант	Restaurant mongol
Moroccan Restaurant	Марокански ресторан	Марокански ресторант	Restaurant marocan
Mosque	Џамија	Джамия	Moschee
Motor Racing Stadium	Стадион за трке	Стадион за моторни спортове	Stadion curse auto
Motor Sport Club	Клуб мотоспорта	Клуб по моторни спортове	Club motorsport
Motorcycle Racing Club	Клуб мото трка	Клуб за мотоциклетни състезания	Club curse motociclete
Mountain Bike Trail	Брдска бициклистичка стаза	Пътека за планинско колоездене	Traseu MTB
Multi-Purpose Sport Stadium	Мултифункционални спортски стадион	Многофункционален спортен стадион	Stadion polivalent
Music and Video Rental Shop	Продавница за изнајмљивање музике и видео	Магазин за наем на музика и видео	Magazin închiriere muzică și video
Music Center	Музички центар	Музикален център	Centru muzical
Mussels Restaurant	Ресторан за мидије	Ресторант за миди	Restaurant scoici
Nail Salon	Студио за нокте	Маникюр студио	Salon manichiură
National Railway Station	Национална железничка станица	Национална жп гара	Gara națională
Natural Recreation Attraction	Природно рекреативно место	Природна атракция	Atracție naturală
Nepalese Restaurant	Непалски ресторан	Непалски ресторант	Restaurant nepalez
Netball Club	Клуб нетбол	Клуб по нетбол	Club netball
Netball Stadium	Стадион за нетбол	Стадион по нетбол	Stadion netball
Norwegian Restaurant	Норвешки ресторан	Норвежки ресторант	Restaurant norvegian
Oil Industry	Нафтна индустрија	Петролнa индустрия	Industria petrolieră
Opera House	Опера	Опера	Opera
Organic Food Restaurant	Органски ресторан	Органичен ресторант	Restaurant produse bio
Oriental Restaurant	Оријентални ресторан	Ориентален ресторант	Restaurant oriental
Pagoda	Пагода	Пагода	Pagodă
Pakistani Restaurant	Пакистански ресторан	Пакистански ресторант	Restaurant pakistanez
Pancake House	Палачинкарија	Къща за палачинки	Clătițerie
Parkway	Пут-парк	Шосе около парк	Alee de parc
Peruvian Restaurant	Перуански ресторан	Перуански ресторант	Restaurant peruvian
Pharmaceutical Industry	Фармацеутска индустрија	Фармацевтична индустрия	Industria farmaceutică
Philippine Restaurant	Филипински ресторан	Филипински ресторант	Restaurant filipinez
Pizzeria	Пицијерија	Пицария	Pizzerie
Polish Restaurant	Пољски ресторан	Полски ресторант	Restaurant polonez
Polynesian Restaurant	Полинезиски ресторан	Полинезийски ресторант	Restaurant polinezian
Portuguese Restaurant	Португалски ресторан	Португалски ресторант	Restaurant portughez
Pre School	Вртић	Детска градина	Grădiniță
Preserve	Резерват	Резерват	Rezervație naturală
Primary School	Основна школа	Начално училище	Școală primară
Private Airport	Приватни аеродром	Частно летище	Aeroport privat
Private Club	Приватни клуб	Частен клуб	Club privat
Provençal Restaurant	Провансалски ресторан	Провансалски ресторант	Restaurant provensal
Pub Food Restaurant	Паб	Пъб	Pub
Public Airport	Јавно летище	Обществено летище	Aeroport public
Public Transport Ticket Office	Шалтер јавног превоза	Каса за билети	Casierie transport public
Race Track	Тркача стаза	Писта	Pistă de curse
Recreational Marijuana Dispensary	Диспансер за рекреативну марихуану	Диспансер за рекреативна марихуана	Dispensar marijuana recreațională
Retirement Community	Зajednica за пензионере	Община за възрастни хора	Comună pentru pensionari
River Scenic Area	Риверски пејсаж	Речен пейзаж	Zonă pe malul râului
Rock Climbing Trail	Стаза за спортско пењање	Маршрут за алпинизъм	Traseu escaladă stâncă
Romanian Restaurant	Румунски ресторан	Румънски ресторант	Restaurant românesc
Rowing Club	Клуб за веслање	Клуб за гребане	Club de canotaj
Rugby Club	Рагби клуб	Клуб по ръгби	Club de rugby
Rugby Ground	Рагби терен	Поле за ръгби	Teren rugby
Running Club	Клуб за трчање	Клуб за бягане	Club alergare
Russian Restaurant	Руски ресторан	Руски ресторант	Restaurant rusesc
Sailing Club	Јахта клуб	Клуб по ветроходство	Club de yachting
Salad Bar	Бар за салати	Бар за салати	Bar salate
Sandwich Restaurant	Ресторант сендвичи	Магазин за сандвичи	Restaurant sandwich
Savoy Restaurant	Савојски ресторан	Ресторант Савой	Restaurant Savoy
Scandinavian Restaurant	Скандинавски ресторан	Скандинавски ресторант	Restaurant scandinav
Scottish Restaurant	Шкотски ресторан	Шотландски ресторант	Restaurant scoțian
Scuba Diving Club	Клуб за роњење	Клуб по гмуркане	Club scuba diving
Seafood Restaurant	Ресторан са морским плодовима	Ресторант за морски дарове	Restaurant fructe de mare
Seashore	Обала	Крайбрежие	Faleza
Senior High School	Средња школа	Гимназия (по-голяма)	Liceu superior
Shandong Restaurant	Шандонг ресторан	Ресторант Шандонг	Restaurant Shandong
Shanghainese Restaurant	Шангајски ресторан	Шанхайски ресторант	Restaurant shanghainez
Shooting Club	Клуб за стрељаштво	Клуб стрелба	Club tir
Sichuan Restaurant	Сечуан ресторан	Сечуан (Съчуан) ресторант	Restaurant Sichuan
Sicilian Restaurant	Сицилијански ресторан	Сицилиански ресторант	Restaurant sicilian
Skateboard Club	Клуб скејтборд	Клуб по скейтборд	Club skateboard
Ski Resort	Ски центар	Ски курорт	Stațiune de schi
Skiing Club	Скијашки клуб	Клуб по ски	Club schi
Slavic Restaurant	Словенски ресторан	Славянски ресторант	Restaurant slav
Slovak Restaurant	Словачки ресторан	Словацки ресторант	Restaurant slovac
Snacks Restaurant	Ресторан грицкалице	Закуски ресторант	Bar de gustări
Snooker, Pool or Billiard Centre	Центар за снукер и билијар	Център за снукър и билярд	Centru snooker, pool și biliard
Soccer Club	Фудбалски клуб	Футболен клуб	Club de fotbal
Soccer Stadium	Фудбалски стадион	Футболен стадион	Stadion de fotbal
Soul Food	Ресторан соул фуд	Ресторант соул фуд	Bucătărie soul food
Soup Restaurant	Супа ресторан	Ресторант за супи	Restaurant supe
Spanish Restaurant	Шпански ресторан	Испански ресторант	Restaurant spaniol
Special Clothing and Accessories Shop	Специјална продавница одеће	Магазин за специални дрехи	Magazin articole speciale
Special School	Специјална школа	Специално училище	Școală specială
Specialist	Специјалиста	Специалист	Specialist
Specialized Hospital	Специјалистичка болница	Специализирана болница	Spital specializat
Sport School	Спортска школа	Спортно училище	Școală sportivă
Sports Clothing and Accessories Shop	Продавница спортске опреме	Магазин за спортни дрехи	Magazin echipament sportiv
Squash Club	Клуб сквош	Клуб по скуош	Club squash
Squash Court	Корт за сквош	Корт за скуош	Teren squash
Steak House	Стек кућа	Стек ресторант	Steakhouse
Subway Station	Метро станица	Метростанция	Stație de metrou
Sudanese Restaurant	Судански ресторан	Судански ресторант	Restaurant sudanez
Surinamese Restaurant	Суринамски ресторан	Суринамски ресторант	Restaurant surinam
Sushi Restaurant	Суши ресторан	Суши ресторант	Restaurant sushi
Swedish Restaurant	Шведски ресторан	Шведски ресторант	Restaurant suedez
Swimming Club	Пливачки клуб	Клуб по плуване	Club de înot
Swimming Pool	Базен	Басейн	Piscină
Swiss Restaurant	Швајцарски ресторан	Швейцарски ресторант	Restaurant elvețian
Synagogue	Синагога	Синагога	Sinagogă
Syrian Restaurant	Сиријски ресторан	Сирийски ресторант	Restaurant sirian
Table Tennis Club	Клуб стони тенис	Клуб по тенис на маса	Club tenis de masă
Taiwanese Restaurant	Тајвански ресторан	Тайвански ресторант	Restaurant taiwanez
Takeaway Food	Храна за понети	Храна за вкъщи	Mâncare la pachet
Tapas Restaurant	Таpas ресторан	Тапас ресторант	Restaurant tapas
Taxi Limousine And Shuttle Service Company	Такси, лимузина и трансфер	Компания такси, лимузина и трансфер	Companie taxi, limuzină și transfer
Technical School	Техничка школа	Техническо училище	Școală tehnică
Temple	Храм	Храм	Templu
Tennis Club	Тениски клуб	Клуб по тенис	Club de tenis
Tennis Court	Тениски терен	Корт за тенис	Teren de tenis
Teppanyaki Restaurant	Тепањаки ресторан	Тепаняки ресторант	Restaurant teppanyaki
Thai Restaurant	Тајландски ресторан	Тайландски ресторант	Restaurant thailandez
Tibetan Restaurant	Тибетански ресторан	Тибетски ресторант	Restaurant tibetan
Tourist Information Office	Туристичка инфо канцеларија	Туристически информационен център	Oficiu informații turistice
Tram Stop	Трамвајско стајалиште	Трамвайна спирка	Stație tramvai
Transport Company	Транспортна компанија	Транспортна компания	Companie transport
Truck Parking Facility	Паркинг за камионе	Паркинг за камиони	Parcare camioane
Truck Stop	Станица за камионе	Спирка за камиони	Stație camioane
Truck Wash	Пералница камиона	Автоматична автомивка камиони	Spălătorie camioane
Tunisian Restaurant	Тунижански ресторан	Тунески ресторант	Restaurant tunisian
Turkish Restaurant	Турски ресторан	Турски ресторант	Restaurant turcesc
Tyres Service	Сервис гума	Сервиз гуми	Service roți
Urban Railway Station	Градска железничка станица	Градска жп гара	Gara urbană
Uruguayan Restaurant	Уругвајски ресторан	Уругвайски ресторант	Restaurant uruguayan
Vegan Restaurant	Вегански ресторан	Веган ресторант	Restaurant vegan
Vegetarian Restaurant	Вегетаријански ресторан	Вегетариански ресторант	Restaurant vegetarian
Venezuelan Restaurant	Венецуелски ресторан	Венецуелски ресторант	Restaurant venezuelan
Vietnamese Restaurant	Вијетнамски ресторан	Виетнамски ресторант	Restaurant vietnamez
Vocational School	Стручна школа	Професионално училище	Școală profesională
Volleyball Club	Клуб одбојке	Клуб по волейбол	Club volei
Welsh Restaurant	Велшки ресторан	Уелски ресторант	Restaurant galez
Western Restaurant	Вестерн ресторан	Уестърн ресторант	Restaurant western
Wilderness Area	Дивљина	Дива местност	Zonă sălbatică
Wine Bar	Вински бар	Винен бар	Bar de vinuri
