name_en	translation_bg	synonym1_bg	synonym2_bg	synonym3_bg
Adventure Vehicle Trail	Офроуд маршрут	Трасе за джипове	Пътека за теренни автомобили	
Aerospace Company	Авиокосмическа компания			
Afghan Restaurant	Афганистански ресторант			
Airfield	Летище	Аерогара		
Airline Company	Авиокомпания	Авиационна компания		
Algerian Restaurant	Алжирски ресторант			
American Football Club	Клуб по американски футбол			
American Football Stadium	Стадион за американски футбол			
Amphitheater	Амфитеатър			
Arabian Restaurant	Арабски ресторант			
Arboretum or Botanical Garden	Арборетум или ботаническа градина	Ботаническа градина		
Argentinian Restaurant	Аржентински ресторант			
Armenian Restaurant	Арменски ресторант			
Art School	Художествено училище	Художествена школа		
Asian Restaurant	Азиатски ресторант			
Athletics Club	Клуб по лека атлетика	Атлетически клуб		
Athletics Track	Лекоатлетическа писта	Атлетическа писта		
Australian Restaurant	Австралийски ресторант			
Automotive Industry	Автомобилна индустрия			
Baseball Club	Клуб по бейзбол	Бейзболен клуб		
Baseball Park	Бейзболен парк	Игрище за бейзбол		
Basketball Club	Баскетболен клуб	Клуб по баскетбол		
Basketball Stadium	Баскетболна зала	Зала за баскетбол		
Basque Restaurant	Баски ресторант			
Beach Volleyball Club	Клуб по плажен волейбол			
Bolivian Restaurant	Боливийски ресторант			
Bosnian Restaurant	Босненски ресторант			
Boules Club	Клуб по петанк			
Bowls Club	Клуб по боулинг	Боулинг клуб		
Brazilian Restaurant	Бразилски ресторант			
Buffet Restaurant	Ресторант тип бюфет	Бюфет		
Bulgarian Restaurant	Български ресторант			
Burmese Restaurant	Бирмански ресторант			
Bus Stop	Автобусна спирка	Спирка		
Cabaret Theater	Кабаре театър	Кабаре		
Cajun Restaurant	Каджънски ресторант			
Cambodian Restaurant	Камбоджански ресторант			
Canoe Club	Кану клуб	Клуб по кану		
Car Bodyshop	Автосервиз за каросерия	Автосервиз за ремонт на каросерия	Боядисване на автомобили	
Car Glass Replacement Shop	Сервиз за автостъкла	Автостъкла		
Car Parking Facility	Паркинг	Автомобилен паркинг	Автостоянка	
Caribbean Restaurant	Карибски ресторант			
Chicken Restaurant	Ресторант за пилешко	Ресторант с пилешко меню		
Chicken Wings Restaurant	Ресторант за пилешки крилца			
Chilean Restaurant	Чилийски ресторант			
Chinese Restaurant	Китайски ресторант			
Church	Църква	Храм		
Climbing Club	Клуб по алпинизъм	Алпийски клуб	Клуб по катерене	
Clothing and Accessories Shop for Children	Магазин за детско облекло и аксесоари	Детски магазин за облекло		
Clothing and Accessories Shop for Men	Магазин за мъжко облекло и аксесоари	Мъжки магазин за облекло		
Clothing and Accessories Shop for Women	Магазин за дамско облекло и аксесоари	Дамски магазин за облекло		
Coach Parking Facility	Паркинг за автобуси	Автобусен паркинг		
Coach Stop	Спирка за автобуси	Автобусна спирка		
Cocktail Bar	Коктейл бар			
Colombian Restaurant	Колумбийски ресторант			
Concert Hall	Концертна зала	Концертна зала		
Corsican Restaurant	Корсикански ресторант			
Creole Restaurant	Креолски ресторант			
Cricket Club	Клуб по крикет	Крикет клуб		
Cricket Ground	Игрище за крикет	Терен за крикет		
Cuban Restaurant	Кубински ресторант			
Culinary School	Кулинарно училище	Готварско училище		
Cycling Club	Колоездачен клуб	Клуб по колоездене		
Cypriot Restaurant	Кипърски ресторант			
Czech Restaurant	Чешки ресторант			
Danish Restaurant	Датски ресторант			
Dinner Theater	Театър с вечеря			
Discotheque	Дискотека	Диско		
Dominican Restaurant	Доминикански ресторант			
Dongbei Restaurant	Ресторант Дунбей			
Doughnut Restaurant	Ресторант за понички	Понички		
Drive Through Bottle Shop	Магазин за напитки с обслужване от кола			
Drive-In Cinema	Кино на открито за автомобили	Кино за автомобили		
Dutch Restaurant	Холандски ресторант			
Egyptian Restaurant	Египетски ресторант			
English Restaurant	Английски ресторант			
Erotic Restaurant	Еротичен ресторант			
Ethiopian Restaurant	Етиопски ресторант			
Exotic Restaurant	Екзотичен ресторант			
Fairground	Панаир	Панаирна площ		
Fast Food Restaurant	Заведение за бързо хранене	Бързо хранене	Фаст фууд	
Field Hockey Club	Клуб по хокей на трева			
Field Hockey Ground	Игрище за хокей на трева			
Finnish Restaurant	Фински ресторант			
Fondue Restaurant	Ресторант за фондю			
French Restaurant	Френски ресторант			
Fusion Restaurant	Фюжън ресторант			
Gas Industry	Газова индустрия			
General Practitioner	Общопрактикуващ лекар	Личен лекар		
German Restaurant	Немски ресторант			
Golf Club	Голф клуб	Клуб по голф		
Greek Restaurant	Гръцки ресторант			
Grill Restaurant	Ресторант скара	Скара		
Guangdong Restaurant	Ресторант Гуандун			
Gurudwara	Гурудвара			
Gymnastics Club	Клуб по гимнастика	Гимнастически клуб		
Hamburger Restaurant	Ресторант за хамбургери			
Hawaiian Restaurant	Хавайски ресторант			
High School	Гимназия	Средно училище		
Hiking Trail	Туристическа пътека	Пешеходна пътека	Екопътека	
Historic Site	Исторически обект	Историческа забележителност		
Historical Park	Исторически парк			
Hockey Club	Хокеен клуб	Клуб по хокей		
Horse Race Track	Конна писта	Хиподрум		
Horse Riding Club	Конноспортен клуб	Клуб по конна езда		
Horse Riding Trail	Конна пътека	Пътека за конна езда		
Hospital for Women and Children	Болница за жени и деца	Женска болница		
Hospital of Chinese Medicine	Болница за китайска медицина			
Hot Pot Restaurant	Ресторант за хот пот			
Hunan Restaurant	Ресторант Хунан			
Hungarian Restaurant	Унгарски ресторант			
Ice Cream Parlor	Сладкарница за сладолед	Сладкарница		
Ice Hockey Arena	Ледена арена за хокей	Ледена арена		
Ice Hockey Club	Клуб по хокей на лед	Хокеен клуб на лед		
Indian Restaurant	Индийски ресторант			
Indonesian Restaurant	Индонезийски ресторант			
International Railway Station	Международна жп гара	Международна железопътна станция	Международна гара	
International Restaurant	Международен ресторант			
Iranian Restaurant	Ирански ресторант			
Irish Restaurant	Ирландски ресторант			
Israeli Restaurant	Израелски ресторант			
Italian Restaurant	Италиански ресторант			
Japanese Restaurant	Японски ресторант			
Jazz Club	Джаз клуб			
Jewish Restaurant	Еврейски ресторант			
Karaoke Bar	Караоке бар			
Korean Restaurant	Корейски ресторант			
Kosher Restaurant	Кошер ресторант			
Lakeshore	Брег на езеро	Езерен бряг		
Latin American Restaurant	Латиноамерикански ресторант			
Lebanese Restaurant	Ливански ресторант			
Local Post Office	Местна поща	Поща		
Luxembourgian Restaurant	Люксембургски ресторант			
Macrobiotic Restaurant	Макробиотичен ресторант			
Maghrib Restaurant	Магребски ресторант			
Maltese Restaurant	Малтийски ресторант			
Mauritian Restaurant	Маврицийски ресторант			
Medicinal Marijuana Dispensary	Аптека за медицинска марихуана			
Mediterranean Restaurant	Средиземноморски ресторант			
Mexican Restaurant	Мексикански ресторант			
Middle Eastern Restaurant	Ресторант с ближноизточна кухня	Ресторант с близкоизточна кухня		
Middle School	Основно училище			
Military Airport	Военно летище	Военна авиобаза		
Mining Company	Минна компания			
Mongolian Restaurant	Монголски ресторант			
Moroccan Restaurant	Марокански ресторант			
Mosque	Джамия			
Motor Racing Stadium	Автомобилна писта	Писта за автомобилни състезания		
Motor Sport Club	Клуб по автомобилен спорт	Автомобилен спортен клуб		
Motorcycle Racing Club	Клуб по мотоциклетизъм	Мотоклуб		
Mountain Bike Trail	Планинска велосипедна пътека	Планинска велоалея		
Multi-Purpose Sport Stadium	Многофункционален спортен стадион	Универсален стадион		
Music and Video Rental Shop	Магазин за музика и видеопрокат			
Music Center	Музикален център			
Mussels Restaurant	Ресторант за миди			
Nail Salon	Салон за маникюр	Маникюрен салон		
National Railway Station	Национална жп гара	Централна жп гара		
Natural Recreation Attraction	Природна забележителност			
Nepalese Restaurant	Непалски ресторант			
Netball Club	Клуб по нетбол			
Netball Stadium	Стадион за нетбол			
Norwegian Restaurant	Норвежки ресторант			
Oil Industry	Нефтена индустрия			
Opera House	Оперен театър	Опера		
Organic Food Restaurant	Ресторант за биохрана	Био ресторант		
Oriental Restaurant	Ориенталски ресторант			
Pagoda	Пагода			
Pakistani Restaurant	Пакистански ресторант			
Pancake House	Палачинкарница			
Parkway	Алея в парк	Паркова алея		
Peruvian Restaurant	Перуански ресторант			
Pharmaceutical Industry	Фармацевтична индустрия			
Philippine Restaurant	Филипински ресторант			
Pizzeria	Пицария			
Polish Restaurant	Полски ресторант			
Polynesian Restaurant	Полинезийски ресторант			
Portuguese Restaurant	Португалски ресторант			
Pre School	Предучилищно заведение	Детска градина		
Preserve	Резерват	Природен резерват		
Primary School	Начално училище			
Private Airport	Частно летище			
Private Club	Частен клуб			
Provençal Restaurant	Провансалски ресторант			
Pub Food Restaurant	Пъб			
Public Airport	Обществено летище	Граждански аероport		
Public Transport Ticket Office	Каса за билети за обществен транспорт	Каса за билети		
Race Track	Писта за състезания	Състезателна писта		
Recreational Marijuana Dispensary	Диспансер за рекреационна марихуана			
Retirement Community	Дом за възрастни	Старчески дом		
River Scenic Area	Живописна речна област	Речна панорама		
Rock Climbing Trail	Трасе за катерене	Алпинистко трасе		
Romanian Restaurant	Румънски ресторант			
Rowing Club	Гребен клуб	Клуб по гребане		
Rugby Club	Клуб по ръгби	Ръгби клуб		
Rugby Ground	Игрище за ръгби	Терен за ръгби		
Running Club	Клуб по бягане	Бегачки клуб		
Russian Restaurant	Руски ресторант			
Sailing Club	Ветроходен клуб	Клуб по ветроходство		
Salad Bar	Салатен бар			
Sandwich Restaurant	Ресторант за сандвичи			
Savoy Restaurant	Савойски ресторант			
Scandinavian Restaurant	Скандинавски ресторант			
Scottish Restaurant	Шотландски ресторант			
Scuba Diving Club	Клуб по водолазно гмуркане	Дайвинг клуб		
Seafood Restaurant	Ресторант за морски дарове	Рибен ресторант		
Seashore	Морски бряг	Крайбрежие	Брег на морето	
Senior High School	Средно училище	Гимназия		
Shandong Restaurant	Ресторант Шандун			
Shanghainese Restaurant	Шанхайски ресторант			
Shooting Club	Стрелкови клуб	Клуб по стрелба		
Sichuan Restaurant	Ресторант Съчуан			
Sicilian Restaurant	Сицилиански ресторант			
Skateboard Club	Клуб по скейтбординг	Скейтборд клуб		
Ski Resort	Ски курорт	Зимен курорт		
Skiing Club	Клуб по ски	Ски клуб		
Slavic Restaurant	Славянски ресторант			
Slovak Restaurant	Словашки ресторант			
Snacks Restaurant	Ресторант за закуски	Бар за закуски		
Snooker, Pool or Billiard Centre	Център за снукър и билярд	Билярден център		
Soccer Club	Футболен клуб	Клуб по футбол		
Soccer Stadium	Футболен стадион	Стадион за футбол		
Soul Food	Ресторант соул фуд			
Soup Restaurant	Ресторант за супи			
Spanish Restaurant	Испански ресторант			
Special Clothing and Accessories Shop	Специализиран магазин за облекло и аксесоари			
Special School	Специално училище			
Specialist	Специалист	Лекар специалист		
Specialized Hospital	Специализирана болница			
Sport School	Спортно училище			
Sports Clothing and Accessories Shop	Магазин за спортно облекло и аксесоари	Спортен магазин		
Squash Club	Клуб по скуош	Скуош клуб		
Squash Court	Корт за скуош			
Steak House	Ресторант за бифтеци			
Subway Station	Метростанция	Станция на метрото		
Sudanese Restaurant	Судански ресторант			
Surinamese Restaurant	Суринамски ресторант			
Sushi Restaurant	Суши ресторант			
Swedish Restaurant	Шведски ресторант			
Swimming Club	Клуб по плуване	Плувен клуб		
Swimming Pool	Басейн	Плувен басейн		
Swiss Restaurant	Швейцарски ресторант			
Synagogue	Синагога			
Syrian Restaurant	Сирийски ресторант			
Table Tennis Club	Клуб по тенис на маса	Клуб по пинг-понг		
Taiwanese Restaurant	Тайвански ресторант			
Takeaway Food	Храна за вкъщи	Храна за вън		
Tapas Restaurant	Ресторант за тапас			
Taxi Limousine And Shuttle Service Company	Такси и лимузинска компания	Таксиметрова компания		
Technical School	Техническо училище	Техникум		
Temple	Храм			
Tennis Club	Тенис клуб	Клуб по тенис		
Tennis Court	Тенис корт	Корт за тенис		
Teppanyaki Restaurant	Ресторант тепаняки			
Thai Restaurant	Тайландски ресторант			
Tibetan Restaurant	Тибетски ресторант			
Tourist Information Office	Туристически информационен офис	Туристическа информация	Информационен център	
Tram Stop	Трамвайна спирка	Спирка на трамвай		
Transport Company	Транспортна компания			
Truck Parking Facility	Паркинг за камиони	Камионен паркинг		
Truck Stop	Спирка за камиони	Камионна спирка		
Truck Wash	Автомивка за камиони	Камионна автомивка		
Tunisian Restaurant	Тунизийски ресторант			
Turkish Restaurant	Турски ресторант			
Tyres Service	Сервиз за гуми	Вулканизация		
Urban Railway Station	Градска жп гара	Градска железопътна гара		
Uruguayan Restaurant	Уругвайски ресторант			
Vegan Restaurant	Веган ресторант			
Vegetarian Restaurant	Вегетариански ресторант			
Venezuelan Restaurant	Венецуелски ресторант			
Vietnamese Restaurant	Виетнамски ресторант			
Vocational School	Професионално училище			
Volleyball Club	Волейболен клуб	Клуб по волейбол		
Welsh Restaurant	Уелски ресторант			
Western Restaurant	Западен ресторант			
Wilderness Area	Дива природа	Необитаема местност		
Wine Bar	Винен бар
