name_en	translation_sq	synonym1_sq	synonym2_sq	synonym3_sq
Adventure Vehicle Trail	Shteg për Automjete Aventurë	Pistë Offroad	Rrugë për Xhipe	
Aerospace Company	Kompani Ajrorumore			
Afghan Restaurant	Restorant Afghan			
Airfield	Aeroport	Fushë Fluturimi		
Airline Company	Kompani Ajrore	Linjë Ajrore		
Algerian Restaurant	Restorant Algerian			
American Football Club	Klub Futbolli Amerikan			
American Football Stadium	Stadion Futbolli Amerikan			
Amphitheater	Amfiteatër			
Arabian Restaurant	Restorant Arab			
Arboretum or Botanical Garden	Arboret ose Kopsht Botanik	Kopsht Botanik		
Argentinian Restaurant	Restorant Argjentinase			
Armenian Restaurant	Restorant Armen			
Art School	Shkollë Arti			
Asian Restaurant	Restorant Aziatik			
Athletics Club	Klub Atletike	Klub Atletizmi		
Athletics Track	Pistë Atletike	Pistë Atletizmi		
Australian Restaurant	Restorant Australian			
Automotive Industry	Industri Automobilistike	Industri e Automjeteve		
Baseball Club	Klub Bejsbolli			
Baseball Park	Park Bejsbolli	Fushë Bejsbolli		
Basketball Club	Klub Basketbolli			
Basketball Stadium	Stadion Basketbolli	Pallat Sportesh për Basketboll		
Basque Restaurant	Restorant Bask			
Beach Volleyball Club	Klub Volejbolli Plazhi			
Bolivian Restaurant	Restorant Bolivian			
Bosnian Restaurant	Restorant Boshnjak			
Boules Club	Klub Petank			
Bowls Club	Klub Lojës me Topa	Klub Boulingu		
Brazilian Restaurant	Restorant Brazilian			
Buffet Restaurant	Restorant Bufé	Bufé		
Bulgarian Restaurant	Restorant Bullgar			
Burmese Restaurant	Restorant Birman			
Bus Stop	Stacion Autobusi	Ndalesa Autobusi	Stacion		
Cabaret Theater	Teatër Kabaret	Kabaret		
Cajun Restaurant	Restorant Kajun			
Cambodian Restaurant	Restorant Kamboxhian			
Canoe Club	Klub Kanueje	Klub Kanoje		
Car Bodyshop	Servis Karoserie	Riparim Karoserie		
Car Glass Replacement Shop	Shërbim Zëvendësimi Xhamash	Riparim Xhamash		
Car Parking Facility	Parking Automjetesh	Parking	Vend Parkimi	
Caribbean Restaurant	Restorant Karaibik			
Chicken Restaurant	Restorant Pule			
Chicken Wings Restaurant	Restorant Krahë Pule			
Chilean Restaurant	Restorant Kilian			
Chinese Restaurant	Restorant Kinez			
Church	Kishë			
Climbing Club	Klub Alpinizmi	Klub Ngjitjeje		
Clothing and Accessories Shop for Children	Dyqan Rrobash për Fëmijë	Dyqan Fëmijësh		
Clothing and Accessories Shop for Men	Dyqan Rrobash për Meshkuj	Dyqan Burracak		
Clothing and Accessories Shop for Women	Dyqan Rrobash për Gra	Dyqan Grash		
Coach Parking Facility	Parking Autokarësh	Parking Autobusësh		
Coach Stop	Stacion Autokarësh	Ndalesa Autokarësh		
Cocktail Bar	Bar Koktejesh	Bar Kokteilesh		
Colombian Restaurant	Restorant Kolumbian			
Concert Hall	Sallë Koncertesh	Sallë Koncertore		
Corsican Restaurant	Restorant Korsikan			
Creole Restaurant	Restorant Kreol			
Cricket Club	Klub Kriketi			
Cricket Ground	Fushë Kriketi	Terren Kriketi		
Cuban Restaurant	Restorant Kuban			
Culinary School	Shkollë Kulinarie	Shkollë Gatimi		
Cycling Club	Klub Çiklizmi	Klub Biçikletash		
Cypriot Restaurant	Restorant Qipriot			
Czech Restaurant	Restorant Çek			
Danish Restaurant	Restorant Danez			
Dinner Theater	Teatër me Darkë			
Discotheque	Diskotekë	Disko		
Dominican Restaurant	Restorant Dominikan			
Dongbei Restaurant	Restorant Dongbei			
Doughnut Restaurant	Restorant Donats	Dyqan Donatesh		
Drive Through Bottle Shop	Shitore Pijesh me Shërbim në Makinë			
Drive-In Cinema	Kinema në Makinë	Kinema Drive-In		
Dutch Restaurant	Restorant Holandez			
Egyptian Restaurant	Restorant Egjiptian			
English Restaurant	Restorant Anglez			
Erotic Restaurant	Restorant Erotik			
Ethiopian Restaurant	Restorant Etiopian			
Exotic Restaurant	Restorant Ekzotik			
Fairground	Panairi	Shesh Paniri		
Fast Food Restaurant	Restorant Ushqimi të Shpejta	Ushqim i Shpejtë	Fast Food	
Field Hockey Club	Klub Hokej në Fushë			
Field Hockey Ground	Fushë Hokej në Fushë			
Finnish Restaurant	Restorant Finlandez			
Fondue Restaurant	Restorant Fondiu			
French Restaurant	Restorant Francez			
Fusion Restaurant	Restorant Fuzion			
Gas Industry	Industri Gazi	Industri e Gazit		
General Practitioner	Mjek i Përgjithshëm	Doktor Familje		
German Restaurant	Restorant Gjerman			
Golf Club	Klub Golfi			
Greek Restaurant	Restorant Grek			
Grill Restaurant	Restorant Skara	Skara		
Guangdong Restaurant	Restorant Guangdong			
Gurudwara	Gurudvara			
Gymnastics Club	Klub Gjimnastike	Klub Gjimnastikës		
Hamburger Restaurant	Restorant Hamburgerësh			
Hawaiian Restaurant	Restorant Havajan			
High School	Shkollë e Mesme	Gjimnaz		
Hiking Trail	Shtegtim Këmbësor	Shteg Ecjeje	Shteg Malor	
Historic Site	Vend Historik	Objekt Historik		
Historical Park	Park Historik			
Hockey Club	Klub Hokej			
Horse Race Track	Pistë Garash Kuajsh	Hipodrom		
Horse Riding Club	Klub Kalërimi	Klub Hipike		
Horse Riding Trail	Shtegtim Kalërimi	Shteg Kalërimi		
Hospital for Women and Children	Spital për Gra dhe Fëmijë	Spital Gjinekologjik		
Hospital of Chinese Medicine	Spital Mjekësie Kineze			
Hot Pot Restaurant	Restorant Hot Pot			
Hunan Restaurant	Restorant Hunan			
Hungarian Restaurant	Restorant Hungarez			
Ice Cream Parlor	Ëmbëltore Akullore	Akullore	Dyqan Akullore	
Ice Hockey Arena	Arenë Hokej në Akull			
Ice Hockey Club	Klub Hokej në Akull			
Indian Restaurant	Restorant Indian			
Indonesian Restaurant	Restorant Indonezian			
International Railway Station	Stacion Ndërkombëtar Hekurudhor	Stacion Treni Ndërkombëtar		
International Restaurant	Restorant Ndërkombëtar			
Iranian Restaurant	Restorant Iranian			
Irish Restaurant	Restorant Irlandez			
Israeli Restaurant	Restorant Izraelit			
Italian Restaurant	Restorant Italian			
Japanese Restaurant	Restorant Japonez			
Jazz Club	Klub Xhazi			
Jewish Restaurant	Restorant Hebre	Restorant Çifut		
Karaoke Bar	Bar Karaoke			
Korean Restaurant	Restorant Korean			
Kosher Restaurant	Restorant Kosher			
Lakeshore	Breg Liqeni	Buzë Liqeni		
Latin American Restaurant	Restorant Latinoamerikan			
Lebanese Restaurant	Restorant Libanez			
Local Post Office	Postë Lokale	Zyrë Postare		
Luxembourgian Restaurant	Restorant Luksemburgaz			
Macrobiotic Restaurant	Restorant Makrobiotik			
Maghrib Restaurant	Restorant Maghrebi			
Maltese Restaurant	Restorant Malti			
Mauritian Restaurant	Restorant Maurician			
Medicinal Marijuana Dispensary	Shpërndarje Marihuane Mjekësore			
Mediterranean Restaurant	Restorant Mesdhetar			
Mexican Restaurant	Restorant Meksikan			
Middle Eastern Restaurant	Restorant Lindjes së Mesme			
Middle School	Shkollë e Mesme e Ulët	Shkollë 9-Vjeçare		
Military Airport	Aeroport Ushtarak	Bazë Ajrore Ushtarake		
Mining Company	Kompani Minieare	Kompani Shfrytëzimi Minieresh		
Mongolian Restaurant	Restorant Mongol			
Moroccan Restaurant	Restorant Marokan			
Mosque	Xhami	Xhamia		
Motor Racing Stadium	Stadion Gara Makinash	Pistë Garash		
Motor Sport Club	Klub Sportesh Motorike	Klub Motorsportesh		
Motorcycle Racing Club	Klub Gara Motorësh	Klub Motoçikletash		
Mountain Bike Trail	Shtegtim Biçiklete Mali	Shteg Biçikletash Malor		
Multi-Purpose Sport Stadium	Stadion Sportiv Shumë-Përdorimësh	Stadion Shumëfunksional		
Music and Video Rental Shop	Dyqan Marje me Qira Muzike dhe Video			
Music Center	Qendër Muzikore	Qendër Muzike		
Mussels Restaurant	Restorant Midhjesh			
Nail Salon	Salon Thonjsh	Manikyr		
National Railway Station	Stacion Kombëtar Hekurudhor	Stacion Qendror Treni		
Natural Recreation Attraction	Zonë Natyrale Rekreative	Atraksion Natyror		
Nepalese Restaurant	Restorant Nepalez			
Netball Club	Klub Netboll			
Netball Stadium	Stadion Netbolli			
Norwegian Restaurant	Restorant Norvegjez			
Oil Industry	Industri Nafte	Industri e Naftës		
Opera House	Teatër Opere	Operë		
Organic Food Restaurant	Restorant Ushqimi Organik	Restorant Bio		
Oriental Restaurant	Restorant Oriental			
Pagoda	Pagodë			
Pakistani Restaurant	Restorant Pakistani			
Pancake House	Restorant Pankejkësh	Dyqan Pankejkësh		
Parkway	Rrugë Parku	Bulevard Parku	Rrugë në Park	
Peruvian Restaurant	Restorant Peruan			
Pharmaceutical Industry	Industri Farmaceutike	Industri e Ilaçeve		
Philippine Restaurant	Restorant Filipinas			
Pizzeria	Piceri	Restorant Pice		
Polish Restaurant	Restorant Polak			
Polynesian Restaurant	Restorant Polinezian			
Portuguese Restaurant	Restorant Portugez			
Pre School	Kopësht Fëmijësh	Çerdhe		
Preserve	Rezervë	Rezervat Natyror		
Primary School	Shkollë Fillore			
Private Airport	Aeroport Privat			
Private Club	Klub Privat			
Provençal Restaurant	Restorant Provansalas			
Pub Food Restaurant	Pub	Pab		
Public Airport	Aeroport Publik	Aeroport Civil		
Public Transport Ticket Office	Zyrë Biletash Transporti Publik	Bileta Transporti		
Race Track	Pistë Garash	Pistë Garave		
Recreational Marijuana Dispensary	Shpërndarje Marihuane Rekriative			
Retirement Community	Komunitet për të Moshuarit	Shtëpi të Moshuarish		
River Scenic Area	Zonë Piktoreske Lumit	Pamje e Lumit		
Rock Climbing Trail	Shtegtim Ngjitje në Shkëmbinj	Shteg Alpinizmi		
Romanian Restaurant	Restorant Rumun			
Rowing Club	Klub Varke	Klub Varkash	Klub Rremëtarësh	
Rugby Club	Klub Ragbi			
Rugby Ground	Fushë Ragbi	Terren Ragbi		
Running Club	Klub Vrapimi	Klub Vrapuesish		
Russian Restaurant	Restorant Rus			
Sailing Club	Klub Lundrimtari	Klub Varkash me Vela		
Salad Bar	Bar Sallatash			
Sandwich Restaurant	Restorant Sandviç			
Savoy Restaurant	Restorant Savoa			
Scandinavian Restaurant	Restorant Skandinav			
Scottish Restaurant	Restorant Skocez			
Scuba Diving Club	Klub Zhytjeje	Klub Zhytjesh		
Seafood Restaurant	Restorant Deti	Restorant Peshku		
Seashore	Breg Deti	Buzë Detit	Bregdet	
Senior High School	Shkollë e Mesme e Lartë	Gjimnaz i Lartë		
Shandong Restaurant	Restorant Shandong			
Shanghainese Restaurant	Restorant Shanghajez			
Shooting Club	Klub Shtënie	Klub Qitjeje		
Sichuan Restaurant	Restorant Sichuan			
Sicilian Restaurant	Restorant Siçilian			
Skateboard Club	Klub Skeitbord			
Ski Resort	Resort Skijimi	Qendër Skijimi		
Skiing Club	Klub Skijimi			
Slavic Restaurant	Restorant Sllav			
Slovak Restaurant	Restorant Sllovak			
Snacks Restaurant	Bar Ushqimesh të Lehta	Bar Meze		
Snooker, Pool or Billiard Centre	Qendër Snuker dhe Bilardoi	Sallë Bilardoje		
Soccer Club	Klub Futbolli			
Soccer Stadium	Stadion Futbolli			
Soul Food	Restorant Ushqimesh Tradicionale	Ushqim Soul		
Soup Restaurant	Restorant Supash			
Spanish Restaurant	Restorant Spanjoll			
Special Clothing and Accessories Shop	Dyqan Rrobash dhe Aksesorësh Special	Dyqan i Specializuar		
Special School	Shkollë Speciale			
Specialist	Specialist	Mjek Specialist	Doktor Specialist	
Specialized Hospital	Spital i Specializuar			
Sport School	Shkollë Sportive			
Sports Clothing and Accessories Shop	Dyqan Rrobash dhe Aksesorësh Sportive	Dyqan Sportiv		
Squash Club	Klub Skuosh			
Squash Court	Fushë Skuoshi	Terren Skuoshi		
Steak House	Restorant Biftek	Restorant Mishi		
Subway Station	Stacion Metroje	Stacion Metro		
Sudanese Restaurant	Restorant Sudanez			
Surinamese Restaurant	Restorant Surinamez			
Sushi Restaurant	Restorant Sushi			
Swedish Restaurant	Restorant Suedez			
Swimming Club	Klub Notimi	Klub Notarësh		
Swimming Pool	Pishinë	Bazë Notimi		
Swiss Restaurant	Restorant Zviceran			
Synagogue	Sinagogë			
Syrian Restaurant	Restorant Sirian			
Table Tennis Club	Klub Pingpongu	Klub Tenisi të Tavolinës		
Taiwanese Restaurant	Restorant Tajvanez			
Takeaway Food	Ushqim për Ta Marrë	Ushqim Për Shtëpi	Ushqim Me Porosi	
Tapas Restaurant	Restorant Tapas			
Taxi Limousine And Shuttle Service Company	Kompani Taksi Limuzinash dhe Shërbim Transferi	Kompani Taksish		
Technical School	Shkollë Teknike			
Temple	Tempull			
Tennis Club	Klub Tenisi			
Tennis Court	Fushë Tenisi	Korte Tenisi		
Teppanyaki Restaurant	Restorant Teppanjaki			
Thai Restaurant	Restorant Tajlandez			
Tibetan Restaurant	Restorant Tibetan			
Tourist Information Office	Zyrë Informacioni Turistik	Informacion Turistik		
Tram Stop	Stacion Tramvaji	Ndalesa Tramvaji		
Transport Company	Kompani Transporti			
Truck Parking Facility	Parking Kamionësh			
Truck Stop	Stacion Kamionësh	Ndalesa Kamionësh		
Truck Wash	Larje Kamionësh	Lavazh Kamionësh		
Tunisian Restaurant	Restorant Tunizian			
Turkish Restaurant	Restorant Turk			
Tyres Service	Shërbim Gomash	Riparim Gomash		
Urban Railway Station	Stacion Hekurudhor Urban	Stacion Treni Urban		
Uruguayan Restaurant	Restorant Uruguaian			
Vegan Restaurant	Restorant Vegan			
Vegetarian Restaurant	Restorant Vegjetarian			
Venezuelan Restaurant	Restorant Venezuelan			
Vietnamese Restaurant	Restorant Vietnamez			
Vocational School	Shkollë Profesionale			
Volleyball Club	Klub Volejbolli			
Welsh Restaurant	Restorant Uellsian			
Western Restaurant	Restorant Perëndimor			
Wilderness Area	Zonë e Egër	Natyrë e Egër		
Wine Bar	Bar Verësh
