name_en	translation_bs	synonym1_bs	synonym2_bs	synonym3_bs
Adventure Vehicle Trail	Staza za terenska vozila			
Aerospace Company	Vazduhoplovna kompanija	Avio kompanija		
Afghan Restaurant	Avganistanski restoran			
Airfield	Aerodrom			
Airline Company	Avio-kompanija	Aviokompanija		
Algerian Restaurant	Alžirski restoran			
American Football Club	Klub američkog fudbala			
American Football Stadium	Stadion za američki fudbal			
Amphitheater	Amfiteatar			
Arabian Restaurant	Arapski restoran			
Arboretum or Botanical Garden	Arboretum ili botanička bašta	Botanički vrt		
Argentinian Restaurant	Argentinski restoran			
Armenian Restaurant	Armenski restoran			
Art School	Umjetnička škola			
Asian Restaurant	Azijski restoran			
Athletics Club	Atletski klub			
Athletics Track	Atletska staza			
Australian Restaurant	Australijski restoran			
Automotive Industry	Automobilska industrija			
Baseball Club	Bejzbol klub			
Baseball Park	Bejzbol stadion	Stadion za bejzbol		
Basketball Club	Košarkaški klub			
Basketball Stadium	Košarkaški stadion			
Basque Restaurant	Baskijski restoran			
Beach Volleyball Club	Klub odbojke na pijesku			
Bolivian Restaurant	Bolivijski restoran			
Bosnian Restaurant	Bosanski restoran			
Boules Club	Bocanje klub	Petank klub		
Bowls Club	Kuglanje klub			
Brazilian Restaurant	Brazilski restoran			
Buffet Restaurant	Bife restoran	Samoposluživanje		
Bulgarian Restaurant	Bugarski restoran			
Burmese Restaurant	Burmanski restoran			
Bus Stop	Autobuska stanica	Autobusko stajalište		
Cabaret Theater	Kabare pozorište			
Cajun Restaurant	Kajunski restoran			
Cambodian Restaurant	Kambodžanski restoran			
Canoe Club	Kanu klub			
Car Bodyshop	Auto limarija	Limarija		
Car Glass Replacement Shop	Auto staklo servis	Zamjena autostakla		
Car Parking Facility	Parking	Parkiralište		
Caribbean Restaurant	Karipski restoran			
Chicken Restaurant	Pileći restoran			
Chicken Wings Restaurant	Restoran pilećih krilaca			
Chilean Restaurant	Čileanski restoran			
Chinese Restaurant	Kineski restoran			
Church	Crkva			
Climbing Club	Penjački klub			
Clothing and Accessories Shop for Children	Prodavnica dječije odjeće i opreme	Dječija prodavnica		
Clothing and Accessories Shop for Men	Prodavnica muške odjeće i opreme	Muška prodavnica		
Clothing and Accessories Shop for Women	Prodavnica ženske odjeće i opreme	Ženska prodavnica		
Coach Parking Facility	Parking za autobuse			
Coach Stop	Stajalište autobusa			
Cocktail Bar	Koktel bar			
Colombian Restaurant	Kolumbijski restoran			
Concert Hall	Koncertna dvorana			
Corsican Restaurant	Korzikanski restoran			
Creole Restaurant	Kreolski restoran			
Cricket Club	Kriket klub			
Cricket Ground	Kriket teren			
Cuban Restaurant	Kubanski restoran			
Culinary School	Kulinarska škola			
Cycling Club	Biciklistički klub			
Cypriot Restaurant	Kiparski restoran			
Czech Restaurant	Češki restoran			
Danish Restaurant	Danski restoran			
Dinner Theater	Pozorište s večerom			
Discotheque	Diskoteka	Noćni klub		
Dominican Restaurant	Dominikanski restoran			
Dongbei Restaurant	Dongbei restoran			
Doughnut Restaurant	Restoran krafni	krofne		
Drive Through Bottle Shop	Prodavnica pića s prevozom			
Drive-In Cinema	Auto-kino			
Dutch Restaurant	Holandski restoran			
Egyptian Restaurant	Egipatski restoran			
English Restaurant	Engleski restoran			
Erotic Restaurant	Erotski restoran			
Ethiopian Restaurant	Etiopski restoran			
Exotic Restaurant	Egzotični restoran			
Fairground	Zabavni park	Luna park		
Fast Food Restaurant	Brza hrana			
Field Hockey Club	Klub hokeja na travi			
Field Hockey Ground	Teren za hokej na travi			
Finnish Restaurant	Finski restoran			
Fondue Restaurant	Fondue restoran			
French Restaurant	Francuski restoran			
Fusion Restaurant	Fusion restoran	Fuzija restoran		
Gas Industry	Gasna industrija			
General Practitioner	Opšti ljekar	Porodični ljekar		
German Restaurant	Njemački restoran			
Golf Club	Golf klub			
Greek Restaurant	Grčki restoran			
Grill Restaurant	Roštilj restoran	Grill restoran		
Guangdong Restaurant	Guangdong restoran	Kantonski restoran		
Gurudwara	Gurudvara	Sikh hram		
Gymnastics Club	Gimnastički klub			
Hamburger Restaurant	Hamburger restoran	Pljeskavica restoran		
Hawaiian Restaurant	Havajski restoran			
High School	Srednja škola			
Hiking Trail	Pješačka staza	Planinarska staza		
Historic Site	Povijesno mjesto	Historijsko mjesto		
Historical Park	Istorijski park	Povijesni park		
Hockey Club	Hokejaški klub			
Horse Race Track	Konjička staza	Hipodrom		
Horse Riding Club	Klub jahanja	Konjički klub		
Horse Riding Trail	Staza za jahanje			
Hospital for Women and Children	Bolnica za žene i djecu			
Hospital of Chinese Medicine	Bolnica kineske medicine			
Hot Pot Restaurant	Hot pot restoran			
Hunan Restaurant	Hunan restoran			
Hungarian Restaurant	Mađarski restoran			
Ice Cream Parlor	Sladoledarnica	Slastičarnica		
Ice Hockey Arena	Arena za hokej na ledu
Ice Hockey Club	Klub hokeja na ledu			
Indian Restaurant	Indijski restoran			
Indonesian Restaurant	Indonezijski restoran			
International Railway Station	Međunarodna željeznička stanica			
International Restaurant	Internacionalni restoran	Međunarodni restoran		
Iranian Restaurant	Iranski restoran			
Irish Restaurant	Irski restoran			
Israeli Restaurant	Izraelski restoran			
Italian Restaurant	Italijanski restoran			
Japanese Restaurant	Japanski restoran			
Jazz Club	Jazz klub			
Jewish Restaurant	Jevrejski restoran			
Karaoke Bar	Karaoke bar			
Korean Restaurant	Korejski restoran			
Kosher Restaurant	Košer restoran			
Lakeshore	Obala jezera	Jezerska obala		
Latin American Restaurant	Latinoamerički restoran			
Lebanese Restaurant	Libanski restoran			
Local Post Office	Lokalna pošta	Poštanski ured		
Luxembourgian Restaurant	Luksemburški restoran			
Macrobiotic Restaurant	Makrobiotički restoran			
Maghrib Restaurant	Magrebski restoran			
Maltese Restaurant	Malteški restoran			
Mauritian Restaurant	Mauricijski restoran			
Medicinal Marijuana Dispensary	Apoteka medicinske marihuane			
Mediterranean Restaurant	Mediteranski restoran	Mediteran restoran		
Mexican Restaurant	Meksički restoran			
Middle Eastern Restaurant	Bliskoistočni restoran			
Middle School	Osnovna škola	Viši razredi		
Military Airport	Vojni aerodrom			
Mining Company	Rudarska kompanija			
Mongolian Restaurant	Mongolski restoran			
Moroccan Restaurant	Marokanski restoran			
Mosque	Džamija			
Motor Racing Stadium	Trkaći stadion	Auto-moto stadion		
Motor Sport Club	Moto klub	Automoto klub		
Motorcycle Racing Club	Moto trkaći klub			
Mountain Bike Trail	Staza za brdski bicikl			
Multi-Purpose Sport Stadium	Višenamjenski sportski stadion			
Music and Video Rental Shop	Prodavnica iznajmljivanja muzike i videa			
Music Center	Muzički centar			
Mussels Restaurant	Restoran dagnji	Školjke restoran		
Nail Salon	Salon za nokte			
National Railway Station	Nacionalna željeznička stanica			
Natural Recreation Attraction	Prirodna rekreaciona atrakcija			
Nepalese Restaurant	Nepalski restoran			
Netball Club	Netball klub			
Netball Stadium	Netball stadion			
Norwegian Restaurant	Norveški restoran			
Oil Industry	Naftna industrija			
Opera House	Opera	Operska kuća		
Organic Food Restaurant	Restoran organske hrane	Eko restoran		
Oriental Restaurant	Orijentalni restoran			
Pagoda	Pagoda			
Pakistani Restaurant	Pakistanski restoran			
Pancake House	Palačinkarnica			
Parkway	Parkovna cesta	Šetalište		
Peruvian Restaurant	Peruanski restoran			
Pharmaceutical Industry	Farmaceutska industrija			
Philippine Restaurant	Filipinski restoran			
Pizzeria	Pizzeria	Picerija		
Polish Restaurant	Poljski restoran			
Polynesian Restaurant	Polinezijski restoran			
Portuguese Restaurant	Portugalski restoran			
Pre School	Predškolska ustanova	Vrtić		
Preserve	Rezervat			
Primary School	Osnovna škola			
Private Airport	Privatni aerodrom			
Private Club	Privatni klub			
Provençal Restaurant	Provanški restoran			
Pub Food Restaurant	Pub restoran			
Public Airport	Javni aerodrom			
Public Transport Ticket Office	Šalter javnog prevoza	Kasa za karte		
Race Track	Trkaća staza	Hipodrom		
Recreational Marijuana Dispensary	Apoteka rekreacione marihuane			
Retirement Community	Dom za starije	Staračka zajednica		
River Scenic Area	Riječno područje	Obala rijeke		
Rock Climbing Trail	Staza za penjanje po stijeni			
Romanian Restaurant	Rumunski restoran			
Rowing Club	Veslački klub			
Rugby Club	Ragbi klub			
Rugby Ground	Ragbi teren			
Running Club	Atletski klub	Klub trčanja		
Russian Restaurant	Ruski restoran			
Sailing Club	Jedrenje klub	Jedrilački klub		
Salad Bar	Salata bar			
Sandwich Restaurant	Sendvič restoran	Bifé		
Savoy Restaurant	Savoyski restoran			
Scandinavian Restaurant	Skandinavski restoran			
Scottish Restaurant	Škotski restoran			
Scuba Diving Club	Ronilački klub			
Seafood Restaurant	Restoran morskih plodova	Riblji restoran		
Seashore	Morska obala	Obala mora		
Senior High School	Gimnazija	Viša srednja škola		
Shandong Restaurant	Shandong restoran			
Shanghainese Restaurant	Šangajski restoran			
Shooting Club	Strelački klub			
Sichuan Restaurant	Sichuan restoran			
Sicilian Restaurant	Sicilijski restoran			
Skateboard Club	Skejt klub	Skateboard klub		
Ski Resort	Skijalište			
Skiing Club	Skijaški klub			
Slavic Restaurant	Slovanski restoran			
Slovak Restaurant	Slovački restoran			
Snacks Restaurant	Restoran grickalica	Zalogajnica		
Snooker, Pool or Billiard Centre	Centar za snuker i biljar	Bilijar centar		
Soccer Club	Fudbalski klub			
Soccer Stadium	Fudbalski stadion			
Soul Food	Soul food			
Soup Restaurant	Restoran juha	Čorbadžinica		
Spanish Restaurant	Španski restoran			
Special Clothing and Accessories Shop	Specijalizovana prodavnica odjeće i opreme			
Special School	Specijalna škola			
Specialist	Specijalista			
Specialized Hospital	Specijalizovana bolnica			
Sport School	Sportska škola			
Sports Clothing and Accessories Shop	Prodavnica sportske odjeće i opreme			
Squash Club	Squash klub	Skvoš klub		
Squash Court	Squash teren	Skvoš teren		
Steak House	Steak house	Biftek restoran		
Subway Station	Stanica podzemne željeznice	Metro stanica		
Sudanese Restaurant	Sudanski restoran			
Surinamese Restaurant	Surinamski restoran			
Sushi Restaurant	Sushi restoran			
Swedish Restaurant	Švedski restoran			
Swimming Club	Plivački klub			
Swimming Pool	Bazen	Plivački bazen		
Swiss Restaurant	Švicarski restoran			
Synagogue	Sinagoga			
Syrian Restaurant	Sirijski restoran			
Table Tennis Club	Stoni tenis klub			
Taiwanese Restaurant	Tajvanski restoran			
Takeaway Food	Hrana za ponijeti			
Tapas Restaurant	Tapas restoran			
Taxi Limousine And Shuttle Service Company	Taksi limuzina i shuttle kompanija			
Technical School	Tehnička škola			
Temple	Hram			
Tennis Club	Tenis klub			
Tennis Court	Tenis teren			
Teppanyaki Restaurant	Teppanyaki restoran			
Thai Restaurant	Tajlandski restoran			
Tibetan Restaurant	Tibetski restoran			
Tourist Information Office	Turistički informativni ured	Turistička informacija		
Tram Stop	Tramvajska stanica	Tramvajsko stajalište		
Transport Company	Transportna kompanija	Prijevozna kompanija		
Truck Parking Facility	Parking za kamione			
Truck Stop	Stajalište za kamione	Kamionsko stajalište		
Truck Wash	Kamionska perionica			
Tunisian Restaurant	Tuniski restoran			
Turkish Restaurant	Turski restoran			
Tyres Service	Servis guma			
Urban Railway Station	Gradska željeznička stanica			
Uruguayan Restaurant	Urugvajski restoran			
Vegan Restaurant	Veganski restoran			
Vegetarian Restaurant	Vegetarijanski restoran			
Venezuelan Restaurant	Venecuelanski restoran			
Vietnamese Restaurant	Vijetnamski restoran			
Vocational School	Stručna škola			
Volleyball Club	Odbojkaški klub			
Welsh Restaurant	Velški restoran			
Western Restaurant	Western restoran	Restoran zapadne kuhinje		
Wilderness Area	Divljina	Područje divljine		
Wine Bar	Vinski bar	Vinoteka		
